GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""00000""",United States, ,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,14230726000,14472712000,14877312000,15449757000,15987957000,16433148000,16762445000,16781485000,16349110000,16789750000,17052410000,17442759000,17812167000,18261714000,18799622000,19141672000,19612102000,20193896000,20715671000,20267585000,21494798000,22034828000,22671096000
" ""01000""",Alabama,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,168448296,172430379,178039962,189913745,197246483,199923857,202025481,200967427,194192061,199454968,201372839,203675511,206962905,206070026,208950294,212862789,216615470,220808767,225272775,222288753,233726620,238556458,245354674
" ""02000""",Alaska,8,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,40014380,41904674,41235016,42880090,44406803,47546237,50126750,49926563,54951938,53652007,54045452,57087368,54627629,53303253,53681146,53463861,53550915,52479584,52377485,50332774,51454146,50767108,54059682
" ""04000""",Arizona,6,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,230885564,238257096,253743083,264989995,283806171,296424393,306611569,302277938,277412371,282252452,290411264,297077253,298859949,301721179,308582795,319008379,333098997,346398299,359576749,365027704,395035854,410228449,422399581
" ""05000""",Arkansas,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,95528730,98556605,102947977,108581758,112451090,114890410,114026706,113627974,109833120,113000861,115241765,116616177,119842786,121409411,121532512,123034853,123882586,126371242,127220002,128340910,137463618,139560739,142860555
" ""06000""",California,8,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,1784567677,1821509513,1895287618,1956745474,2042141033,2120435378,2168940424,2192331807,2110679365,2153852764,2192887191,2255437279,2340335324,2428675697,2545979525,2623711672,2740550256,2850970282,2969608988,2933320241,3154188636,3184007836,3248656553
" ""08000""",Colorado,7,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,242650096,243701932,246017435,250069293,261992919,268190805,278733823,281803303,275659145,279385573,283963779,289339541,301484129,315399050,330526147,337685173,350209112,365204531,383725638,380188778,406451935,418818816,437056036
" ""09000""",Connecticut,1,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,236338107,234307344,236719115,252680831,258203694,269478567,278485379,277793163,265530775,266773408,261555788,263649924,258910988,260605767,268869760,268196181,273875070,274582807,275225375,260765221,269838687,278975911,286628442
" ""10000""",Delaware,2,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,65724791,63702543,64316787,67735474,66381193,68411829,68132404,65771321,69186157,68291851,71103481,70562372,68656786,73961749,76211173,71941407,69555627,70856435,74627793,72506771,74657054,77149229,78014386
" ""11000""",District of Columbia,2,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,96185345,99014659,100969449,106547191,108884101,108848328,112287649,116213705,115645991,120393223,122636380,123567873,124094795,126883923,129110196,132217775,134298772,138056788,138909669,137640835,143141361,144554575,146024260
