year,Locationdesc,Sample_Size,Data_value,Data_value_unit,Data_value_type,cbsacode,adult_population,adult_population18_65,population,total_65_and_older,total_adult_obesity,total_adult_smoking,total_below_18_years_of_age,total_children_in_poverty,total_children_in_single-parent_households,total_excessive_drinking,total_female,total_homicides,total_mental_health_providers,total_motor_vehicle_crash_deaths,total_not_proficient_in_english,total_physical_inactivity,total_poor_mental_health_days,total_poor_or_fair_health,total_poor_physical_health_days,total_premature_death,total_primary_care_physicians,total_rural,total_sexually_transmitted_infections,total_uninsured_adults,total_violent_crime
2011.0,"Aberdeen, SD Micropolitan Statistical Area",88,16.75,%,Crude Prevalence,10100,30312.839,23626.885,39139.0,6685.954000000001,8924.320294999998,5720.877944,8826.161,1145.9530260000001,2023.366088,6192.435272000001,20078.096,0.70408,inf,5.1071860000000004,580.27,8501.832617,3026.186666666667,3780.488759,3887.666666666667,2055.415364,529.7331924099801,14460.996,79.103388,3323.081065,0.0
2014.0,"Aberdeen, SD Micropolitan Statistical Area",105,19.36,%,Crude Prevalence,10100,31817.0000008664,25031.0000004625,41357.0,6786.0000004039,10033.372000261414,5432.763000159478,9539.999999133599,1193.4229998998358,2255.65617705136,6567.681000180415,21078.992158264602,0.0,0.0,4.16891544244567,236.5874189828,8718.75700023191,3258.5366666666664,3503.131000103261,3846.5666666666666,2269.7654186000004,429.5631403503866,14811.1242508023,133.73219200000003,3382.513896946706,68.6810272144304
2015.0,"Aberdeen, SD Micropolitan Statistical Area",84,14.29,%,Crude Prevalence,10100,32122.000001109798,25259.999999840595,41948.0,6862.0000012692,9547.014000325027,5485.478000198733,9825.9999988902,1239.0939998667811,2401.510485267607,6630.726000230344,21341.0000007867,0.0,129.45411086212778,4.02770825449212,360.6640741964,8141.064000278127,3307.0866666666666,3537.146000128488,3901.6766666666663,2239.6796998,510.16540379107744,14992.5337112631,116.71426500000001,3319.492686030414,76.6539850643512
2017.0,"Aberdeen, SD Micropolitan Statistical Area",73,16.05,%,Crude Prevalence,10100,32650.0000018745,25558.0000000608,42784.0,7092.0000018137,10418.09900060314,4656.683710213851,10133.9999981255,1298.2279997634794,2742.8922847532467,6417.598807108433,21645.000001852703,0.0,118.4469459988814,4.58967801052715,599.8214119186,7132.246000405268,3490.5263961456603,3167.8554398466363,4003.362577097023,2354.2648990000002,711.0040357567856,15204.192576340502,109.490055,2884.542145498537,87.9995498928135
2018.0,"Aberdeen, SD Micropolitan Statistical Area",89,20.73,%,Crude Prevalence,10100,32837.9999990208,25642.999999611202,43080.0,7194.9999994096,10723.697999684333,4895.434349443823,10242.0000009792,1247.3800001210238,2662.5860271588954,6061.783224080902,21763.9999990896,0.0,116.87025821284026,4.28335447240776,648.3974095856,7385.761999774291,4038.9012310372536,3447.234083129442,4204.17194310472,2549.54826921088,790.3653000451482,15256.2870988024,138.55224800000002,3058.2240560999244,88.7777849221608
2019.0,"Aberdeen, SD Micropolitan Statistical Area",84,17.36,%,Crude Prevalence,10100,32718.999999628802,25356.999999871,43097.0,7361.9999997578,10659.982999876784,4877.825124842019,10378.000000371201,1350.2000000441249,2733.038373237558,6039.858581778648,21751.999998837102,0.0,116.28149250848368,3.660687923049426,566.791548876,6932.362999930645,4040.6504193733203,3434.6657724145857,4205.82348027013,2503.905539037523,702.3634545750679,15237.732364467402,183.70684200000002,2880.1302206031237,123.14775954236211
2020.0,"Aberdeen, SD Micropolitan Statistical Area",92,18.73,%,Crude Prevalence,10100,32849.000001764696,25268.0000031724,43191.0,7580.9999985923005,10335.63900055533,4720.30780809841,10341.9999982353,1218.8059997929117,2974.3676652823488,5874.636493162677,21930.000000824,0.0,111.20488181398257,4.22200086653692,497.02793562889997,7228.988000386238,4106.950814986856,3830.8524674715545,4431.264596462743,2245.104024681869,692.0595454668946,15233.6012977028,179.58094699999998,3158.9728024150077,123.56710575298855
2021.0,"Aberdeen, SD Micropolitan Statistical Area",93,18.18,%,Crude Prevalence,10100,32580.000001004304,24778.000002715402,42668.0,7801.999998288899,11279.094000353787,6017.108852509544,10087.9999989957,1073.1259999028612,1766.534476351759,6863.110121849386,21591.9999982333,0.0,106.23013672312835,4.14761692574022,298.9445599965,7456.48200021273,4465.253634984787,4596.294369789285,4718.928806155373,2141.4146999151008,684.9845635781688,15049.7934632587,151.666295,3131.1560180776555,122.0681850628748
2022.0,"Aberdeen, SD Micropolitan Statistical Area",139,20.8,%,Crude Prevalence,10100,32490.9999990957,24598.0000001425,42555.0,7892.999998953201,11129.642999689153,5446.674999849925,10064.0000009043,994.0520000799817,1529.8827633033445,7255.51449365274,21588.9999984315,0.0,97.44367934937064,3.8397823724656623,202.53635814210003,9534.632999735713,4975.432461529183,4406.959999876477,4268.599104958087,2449.080319774475,674.8945327113981,15008.614026615402,152.588982,3489.148152544671,121.75023946020293
2011.0,"Akron, OH Metropolitan Statistical Area",129,16.18,%,Crude Prevalence,10420,543027.83,445615.135,699935.0,97412.69499999999,153042.12176,124372.63966000002,156907.16999999998,26557.39725,49698.515880000006,90568.68641,361078.745,28.870980000000003,10943.720893956153,68.104925,11338.59,136737.98858,82124.51666666666,69272.27818000001,74659.73333333334,49313.040355000005,8379.799699784437,88225.775,2233.12229,62880.48527500001,0.0
