Year,Locationabbr,Locationdesc,Response,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,LocationID,QuestionID,RESPONSEID,GeoLocation,cbsacode,metropolitandivisioncode,csacode,cbsatitle,metropolitanmicropolitanstatis,depression_twitter19,CENSUS2019POP,depression_twitter10,sample_size_twitter10,CENSUS2010POP
2011,10100.0,"Aberdeen, SD Micropolitan Statistical Area",Yes,88.0,16.75,11.83,21.67,50.0,%,Crude Prevalence,,,10100.0,ADDEPEV2,RESP046,"(45.5222131, -98.7041456)",10100,10100.0,,"Aberdeen, SD",Micropolitan Statistical Area,,,,,
2011,10420.0,"Akron, OH Metropolitan Statistical Area",Yes,129.0,16.18,12.24,20.12,50.0,%,Crude Prevalence,,,10420.0,ADDEPEV2,RESP046,"(41.1466315, -81.3501066)",10420,10420.0,184.0,"Akron, OH",Metropolitan Statistical Area,,,0.2051282051282051,39.0,703200.0
2011,,,,,,,,,,,,,,,,,10500,,,,,,,0.2666666666666666,15.0,153857.0
2011,,,,,,,,,,,,,,,,,10580,,,,,,,0.0416666666666666,24.0,870716.0
2011,10740.0,"Albuquerque, NM Metropolitan Statistical Area",Yes,720.0,21.78,19.92,23.64,50.0,%,Crude Prevalence,,,10740.0,ADDEPEV2,RESP046,"(35.1165976, -106.4565247)",10740,10740.0,105.0,"Albuquerque, NM",Metropolitan Statistical Area,,,,,
2011,10900.0,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",Yes,190.0,20.59,16.69,24.49,50.0,%,Crude Prevalence,,,10900.0,ADDEPEV2,RESP046,"(40.7892985, -75.3983269)",10900,10900.0,106.0,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,,,,
2011,11260.0,"Anchorage, AK Metropolitan Statistical Area",Yes,241.0,17.54,14.7,20.38,50.0,%,Crude Prevalence,,,11260.0,ADDEPEV2,RESP046,"(26.936, -114.896)",11260,11260.0,,"Anchorage, AK",Metropolitan Statistical Area,,,,,
2011,11700.0,"Asheville, NC Metropolitan Statistical Area",Yes,112.0,21.93,16.56,27.3,50.0,%,Crude Prevalence,,,11700.0,ADDEPEV2,RESP046,"(35.5956625, -82.6816107)",11700,11700.0,120.0,"Asheville, NC",Metropolitan Statistical Area,,,,,
2011,12060.0,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",Yes,548.0,13.45,11.9,15.0,50.0,%,Crude Prevalence,,,12060.0,ADDEPEV2,RESP046,"(33.6952845, -84.4389383)",12060,12054.0,122.0,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,,,0.0987654320987654,486.0,5298377.0
2011,12060.0,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",Yes,548.0,13.45,11.9,15.0,50.0,%,Crude Prevalence,,,12060.0,ADDEPEV2,RESP046,"(33.6952845, -84.4389383)",12060,31924.0,122.0,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,,,0.0987654320987654,486.0,5298377.0
2011,12100.0,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",Yes,154.0,16.17,12.41,19.93,50.0,%,Crude Prevalence,,,12100.0,ADDEPEV2,RESP046,"(39.469346, -74.6337568)",12100,12100.0,428.0,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,,,0.1,10.0,371814.0
2011,12260.0,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",Yes,206.0,15.61,12.22,19.0,50.0,%,Crude Prevalence,,,12260.0,ADDEPEV2,RESP046,"(33.4372136, -81.9561532)",12260,12260.0,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,,,0.125,16.0,564873.0
2011,12300.0,"Augusta-Waterville, ME Micropolitan Statistical Area",Yes,272.0,26.01,22.48,29.54,50.0,%,Crude Prevalence,,,12300.0,ADDEPEV2,RESP046,"(44.4170028, -69.7657636)",12300,12300.0,,"Augusta-Waterville, ME",Micropolitan Statistical Area,,,,,
2011,12420.0,"Austin-Round Rock, TX Metropolitan Statistical Area",Yes,241.0,15.76,12.8,18.72,50.0,%,Crude Prevalence,,,12420.0,ADDEPEV2,RESP046,"(30.2395076, -97.6912621)",12420,12420.0,,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,,,0.0714285714285714,14.0,1716289.0
2011,12580.0,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Yes,527.0,15.53,13.75,17.31,50.0,%,Crude Prevalence,,,12580.0,ADDEPEV2,RESP046,"(39.3043531, -76.5494987)",12580,12580.0,548.0,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,,,0.125,168.0,2710489.0
2011,12620.0,"Bangor, ME Metropolitan Statistical Area",Yes,330.0,28.26,24.79,31.73,50.0,%,Crude Prevalence,,,12620.0,ADDEPEV2,RESP046,"(45.3905929, -68.6574869)",12620,12620.0,,"Bangor, ME",Metropolitan Statistical Area,,,,,
2011,12700.0,"Barnstable Town, MA Metropolitan Statistical Area",Yes,88.0,19.92,14.9,24.94,49.0,%,Crude Prevalence,,,12700.0,ADDEPEV2,RESP046,"(41.7988102, -70.2110824)",12700,12700.0,148.0,"Barnstable Town, MA",Metropolitan Statistical Area,,,,,
2011,12740.0,"Barre, VT Micropolitan Statistical Area",Yes,160.0,25.13,20.52,29.74,49.0,%,Crude Prevalence,,,12740.0,ADDEPEV2,RESP046,"(44.2749442, -72.6094737)",12740,12740.0,162.0,"Barre, VT",Micropolitan Statistical Area,,,,,
2011,12940.0,"Baton Rouge, LA Metropolitan Statistical Area",Yes,209.0,17.18,14.36,20.0,50.0,%,Crude Prevalence,,,12940.0,ADDEPEV2,RESP046,"(30.5708797, -91.1346142)",12940,12940.0,132.0,"Baton Rouge, LA",Metropolitan Statistical Area,,,0.2068965517241379,29.0,825905.0
2011,,,,,,,,,,,,,,,,,13140,,,,,,,0.1176470588235294,17.0,388745.0
2011,13740.0,"Billings, MT Metropolitan Statistical Area",Yes,281.0,24.88,21.29,28.47,50.0,%,Crude Prevalence,,,13740.0,ADDEPEV2,RESP046,"(45.6424248, -108.599649)",13740,13740.0,,"Billings, MT",Metropolitan Statistical Area,,,,,
2011,,,,,,,,,,,,,,,,,13780,,,,,,,0.1,10.0,251725.0
2011,13820.0,"Birmingham-Hoover, AL Metropolitan Statistical Area",Yes,305.0,19.62,16.93,22.31,49.0,%,Crude Prevalence,,,13820.0,ADDEPEV2,RESP046,"(33.4623655, -86.8143329)",13820,13820.0,142.0,"Birmingham, AL",Metropolitan Statistical Area,,,0.1739130434782608,23.0,1128047.0
2011,13900.0,"Bismarck, ND Metropolitan Statistical Area",Yes,152.0,18.24,14.83,21.65,50.0,%,Crude Prevalence,,,13900.0,ADDEPEV2,RESP046,"(46.8373476, -100.9054398)",13900,13900.0,,"Bismarck, ND",Metropolitan Statistical Area,,,,,
2011,14260.0,"Boise City, ID Metropolitan Statistical Area",Yes,329.0,19.84,17.12,22.56,50.0,%,Crude Prevalence,,,14260.0,ADDEPEV2,RESP046,"(43.0066426, -116.141896)",14260,14260.0,147.0,"Boise City, ID",Metropolitan Statistical Area,,,,,
2011,15764.0,"Cambridge-Newton-Framingham, MA Metropolitan Division",Yes,771.0,15.22,13.44,17.0,50.0,%,Crude Prevalence,,,15764.0,ADDEPEV2,RESP046,"(42.4794683, -71.3965063)",14460,15764.0,148.0,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,,,0.1397849462365591,93.0,4552402.0
2011,40484.0,"Rockingham County-Strafford County, NH Metropolitan Division",Yes,336.0,21.0,18.16,23.84,50.0,%,Crude Prevalence,,,40484.0,ADDEPEV2,RESP046,"(43.0866404, -71.069839)",14460,40484.0,148.0,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,,,0.1397849462365591,93.0,4552402.0
2011,14500.0,"Boulder, CO Metropolitan Statistical Area",Yes,115.0,17.38,13.36,21.4,50.0,%,Crude Prevalence,,,14500.0,ADDEPEV2,RESP046,"(40.0948313, -105.3983667)",14500,14500.0,216.0,"Boulder, CO",Metropolitan Statistical Area,,,,,
2011,14580.0,"Bozeman, MT Micropolitan Statistical Area",Yes,110.0,18.7,14.25,23.15,49.0,%,Crude Prevalence,,,14580.0,ADDEPEV2,RESP046,"(45.535552, -111.1734307)",14580,14580.0,,"Bozeman, MT",Metropolitan Statistical Area,,,,,
2011,14860.0,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",Yes,264.0,15.02,12.59,17.45,49.0,%,Crude Prevalence,,,14860.0,ADDEPEV2,RESP046,"(41.2274401, -73.3664694)",14860,14860.0,408.0,"Bridgeport-Stamford-Danbury, CT",Metropolitan Statistical Area,,,,,
2011,15100.0,"Brookings, SD Micropolitan Statistical Area",Yes,79.0,23.36,14.58,32.14,49.0,%,Crude Prevalence,,,15100.0,ADDEPEV2,RESP046,"(44.3766668, -96.7977884)",15100,15100.0,,"Brookings, SD",Micropolitan Statistical Area,,,,,
2011,15380.0,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",Yes,81.0,13.97,10.27,17.67,50.0,%,Crude Prevalence,,,15380.0,ADDEPEV2,RESP046,"(43.0443626, -78.777332)",15380,15380.0,160.0,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,,,0.088235294117647,34.0,1135509.0
2011,15540.0,"Burlington-South Burlington, VT Metropolitan Statistical Area",Yes,472.0,22.2,19.73,24.67,50.0,%,Crude Prevalence,,,15540.0,ADDEPEV2,RESP046,"(44.6891078, -73.0411693)",15540,15540.0,162.0,"Burlington-South Burlington, VT",Metropolitan Statistical Area,,,,,
2011,15940.0,"Canton-Massillon, OH Metropolitan Statistical Area",Yes,116.0,15.36,11.62,19.1,50.0,%,Crude Prevalence,,,15940.0,ADDEPEV2,RESP046,"(40.7110642, -81.2614706)",15940,15940.0,184.0,"Canton-Massillon, OH",Metropolitan Statistical Area,,,,,
2011,16220.0,"Casper, WY Metropolitan Statistical Area",Yes,186.0,23.85,19.75,27.95,50.0,%,Crude Prevalence,,,16220.0,ADDEPEV2,RESP046,"(42.9736335, -106.7648661)",16220,16220.0,,"Casper, WY",Metropolitan Statistical Area,,,,,
2011,16300.0,"Cedar Rapids, IA Metropolitan Statistical Area",Yes,119.0,19.14,15.06,23.22,49.0,%,Crude Prevalence,,,16300.0,ADDEPEV2,RESP046,"(42.0855843, -91.6304636)",16300,16300.0,168.0,"Cedar Rapids, IA",Metropolitan Statistical Area,,,,,
2011,,,,,,,,,,,,,,,,,16580,,,,,,,0.2727272727272727,11.0,231891.0
2011,16620.0,"Charleston, WV Metropolitan Statistical Area",Yes,214.0,21.35,18.29,24.41,50.0,%,Crude Prevalence,,,16620.0,ADDEPEV2,RESP046,"(38.2894939, -81.6598481)",16620,16620.0,170.0,"Charleston, WV",Metropolitan Statistical Area,,,,,
2011,16700.0,"Charleston-North Charleston, SC Metropolitan Statistical Area",Yes,258.0,15.34,12.79,17.89,50.0,%,Crude Prevalence,,,16700.0,ADDEPEV2,RESP046,"(33.0153769, -80.0107744)",16700,16700.0,,"Charleston-North Charleston, SC",Metropolitan Statistical Area,,,0.0909090909090909,22.0,664607.0
2011,16740.0,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",Yes,333.0,16.7,14.23,19.17,50.0,%,Crude Prevalence,,,16740.0,ADDEPEV2,RESP046,"(35.1091293, -80.7322679)",16740,16740.0,172.0,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,,,0.1333333333333333,90.0,2243960.0
2011,16860.0,"Chattanooga, TN-GA Metropolitan Statistical Area",Yes,118.0,22.96,14.92,31.0,49.0,%,Crude Prevalence,,,16860.0,ADDEPEV2,RESP046,"(35.0489417, -85.3619225)",16860,16860.0,174.0,"Chattanooga, TN-GA",Metropolitan Statistical Area,,,,,
2011,16940.0,"Cheyenne, WY Metropolitan Statistical Area",Yes,218.0,18.16,14.93,21.39,50.0,%,Crude Prevalence,,,16940.0,ADDEPEV2,RESP046,"(41.2928235, -104.6603848)",16940,16940.0,,"Cheyenne, WY",Metropolitan Statistical Area,,,,,
2011,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Yes,626.0,16.52,14.7,18.34,50.0,%,Crude Prevalence,,,16980.0,ADDEPEV2,RESP046,"(41.8235136, -87.8282909)",16980,16984.0,176.0,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,,,0.1162790697674418,215.0,9294679.0
2011,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Yes,626.0,16.52,14.7,18.34,50.0,%,Crude Prevalence,,,16980.0,ADDEPEV2,RESP046,"(41.8235136, -87.8282909)",16980,20994.0,176.0,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,,,0.1162790697674418,215.0,9294679.0
2011,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Yes,626.0,16.52,14.7,18.34,50.0,%,Crude Prevalence,,,16980.0,ADDEPEV2,RESP046,"(41.8235136, -87.8282909)",16980,29404.0,176.0,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,,,0.1162790697674418,215.0,9294679.0
2011,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Yes,626.0,16.52,14.7,18.34,50.0,%,Crude Prevalence,,,16980.0,ADDEPEV2,RESP046,"(41.8235136, -87.8282909)",16980,29414.0,176.0,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,,,0.1162790697674418,215.0,9294679.0
2011,17140.0,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",Yes,341.0,15.96,13.69,18.23,50.0,%,Crude Prevalence,,,17140.0,ADDEPEV2,RESP046,"(39.0785757, -84.4635032)",17140,17140.0,178.0,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,,0.1136363636363636,44.0,2130151.0
