year,cbsacode,Sample_Size,Data_value,Data_value_unit,Data_value_type,population,total_adult_obesity,total_adult_smoking,total_children_in_poverty,total_children_in_single-parent_households,total_excessive_drinking,total_homicides,total_mental_health_providers,total_motor_vehicle_crash_deaths,total_not_proficient_in_english,total_physical_inactivity,total_poor_or_fair_health,total_premature_death,total_primary_care_physicians,total_rural,total_sexually_transmitted_infections,total_uninsured_adults,total_violent_crime,total_poor_physical_health_days,total_poor_mental_health_days,depression_twitter19,depression_twitter10,CENSUS2019POP,CENSUS2010POP,Park_Area_Acres,Weighted_RESP,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n
2011,10100,88,16.75,%,Crude Prevalence,39139,8924.320295,5720.877944,1145.953026,2023.366088,6192.435272,0.70408,8.03E-05,5.107186,580.27,8501.832617,3780.488759,2055.415364,0.000341615,14460.996,87.945333,3323.081065,0,1943.833333,1513.093333,,,,,550.7733005,0.169974106,,,,,,
2014,10100,105,19.36,%,Crude Prevalence,41357,10033.372,5432.763,1193.423,2255.656177,6567.681,0,0,4.618516406,236.587419,8718.757,3503.131,2269.765419,0.000359411,14811.12425,133.732192,3382.513897,68.68102721,1923.283333,1629.268333,,,,,550.7733005,0.169974106,,,,,,
2015,10100,84,14.29,%,Crude Prevalence,41948,9547.014,5485.478,1239.094,2401.510485,6630.726,0,0.001228329,4.457074046,360.6640742,8141.064,3537.146,2239.6797,0.000355166,14992.53371,116.714265,3319.492686,76.65398506,1950.838333,1653.543333,,,,,550.7733005,0.169974106,,,,,,
2017,10100,73,16.05,%,Crude Prevalence,42784,10418.099,4656.68371,1298.228,2742.892285,6417.598807,0,0.001400946,5.06290535,599.8214119,7132.246,3167.85544,2354.264899,0.00028269,15204.19258,120.779232,2884.542145,87.99954989,2001.681289,1745.263198,,,,,550.7733005,0.169974106,,,,,,
2018,10100,89,20.73,%,Crude Prevalence,43080,10723.698,4895.434349,1247.38,2662.586027,6061.783224,0,0.001442312,4.715981156,648.3974096,7385.762,3447.234083,2549.548269,0.000252005,15256.2871,152.54628,3058.224056,88.77778492,2102.085972,2019.450616,,,,,550.7733005,0.169974106,,,,,,
2019,10100,84,17.36,%,Crude Prevalence,43097,10659.983,4877.825125,1350.2,2733.038373,6039.858582,0,0.00145204,4.02686884,566.7915489,6932.363,3434.665772,2503.905539,0.000290274,15237.73236,183.706842,2880.130221,123.1477595,2102.91174,2020.32521,,,,,550.7733005,0.169974106,,,,,,
2020,10100,92,18.73,%,Crude Prevalence,43191,10335.639,4720.307808,1218.806,2974.367665,5874.636493,0,0.001526999,4.638122887,497.0279356,7228.988,3830.852467,2245.104025,0.000270656,15233.6013,179.580947,3158.972802,123.5671058,2215.632298,2053.475407,,,,,550.7733005,0.169974106,,,,,,
2021,10100,93,18.18,%,Crude Prevalence,42668,11279.094,6017.108853,1073.126,1766.534476,6863.110122,0,0.001559993,4.556515847,298.94456,7456.482,4596.29437,2141.4147,0.000266729,15049.79346,166.61854,3131.156018,122.0681851,2359.464403,2232.626817,,,,,550.7733005,0.169974106,,,,,,
2022,10100,139,20.8,%,Crude Prevalence,42555,11129.643,5446.675,994.0520001,1529.882763,7255.514494,0,0.001691742,4.218130488,202.5363581,9534.633,4406.96,2449.08032,0.000269287,15008.61403,167.624145,3489.148153,121.7502395,2134.299552,2487.716231,,,,,550.7733005,0.169974106,,,,,,
2011,10420,129,16.18,%,Crude Prevalence,699935,153042.1218,124372.6397,26557.39725,49698.51588,90568.68641,28.87098,0.004547573,68.104925,11338.59,136737.9886,69272.27818,49313.04036,0.006534568,88225.775,2233.12229,62880.48528,0,37329.86667,41062.25833,,0.205128205,,703200,41598.15136,0.216675108,64850.53641,56107.79674,14168.44522,4957.275593,484.4305285,53.11438995
2012,10420,131,17.24,%,Crude Prevalence,699935,158348.1089,120812.6972,33717.93639,49548.57612,91595.58064,29.4617537,0.004547573,65.72536612,12025.85641,137424.5742,69645.15169,49249.68811,0.006534568,88225.775,2324.867425,70831.9008,2499.554594,38875.33333,40420.8,,,,,41598.15136,0.216675108,64850.53641,56107.79674,14168.44522,4957.275593,484.4305285,53.11438995
2013,10420,147,22.55,%,Crude Prevalence,701456,159696.968,118506.949,36524.418,50776.00664,96015.211,31.00145513,0.004210387,57.38845374,5240.425338,138731.877,75693.18,49575.12376,0.005605697,73961.71131,2595.03896,76257.69,2467.270107,40379.52,41279.24,,,,,41598.15136,0.216675108,64850.53641,56107.79674,14168.44522,4957.275593,484.4305285,53.11438995
2015,10420,111,20.27,%,Crude Prevalence,705686,156322.66,115766.881,30248.714,51161.50854,100222.642,33.997346,0.01043,55.87635678,5777.61823,131246.476,79274.001,49379.48738,0.005759502,74773.29738,3103.393158,71770.08496,2335.830958,41248.74667,40702.54,,,,,41598.15136,0.216675108,64850.53641,56107.79674,14168.44522,4957.275593,484.4305285,53.11438995
