Year,cbsacode,v051_rawvalue,v052_rawvalue,v009_rawvalue,v011_rawvalue,v049_rawvalue,v060_rawvalue,v070_numerator,v069_numerator,v023_numerator,v082_numerator,v062_numerator,v063_rawvalue,v067_numerator,v045_rawvalue,Data_value,Sample_Size,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n
2011,10420.0,542405.0,123668.34,93797.01184,117246.2648,74535.12548,44804.82262,0.0,94515.0,29077.0,41007.0,375.0,49528.0,223355.0,364.6,16.6,112.0,30090713.0,41598.15136,0.216675108,5494.820511684351,537.5449184926114,53.1143899450831
2012,10420.0,542405.0,123668.34,86259.75196000001,121433.6314,73697.65216,43967.3493,0.0,90784.0,28913.0,40388.0,375.0,45768.0,221759.0,368.3,20.18,118.0,31046119.0,41598.15136,0.216675108,5494.820511684351,537.5449184926114,53.1143899450831
2011,10740.0,841428.0,207848.321,119645.415194,132813.285121,83828.102769,37536.718343,0.0,142157.0,29683.0,72115.0,174.0,146437.0,298296.0,1024.6999999999998,21.295515759312323,698.0,37141102.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2012,10740.0,768515.0,188890.941,104113.34927699996,119447.357021,73239.331013,35823.223199,0.0,131916.0,31877.0,68841.0,171.0,100183.0,285827.0,878.4,21.34,609.0,37226565.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2011,10900.0,109638.0,25655.292,18056.28222,23095.244700000003,13353.250572,6802.599348000001,0.0,18230.0,5300.0,6087.0,20.0,74721.0,43437.0,90.1,11.85,75.0,36883410.0,104714.6338,0.239066719,6179.837740545382,694.0106947838865,86.91756064015811
2012,10900.0,109638.0,25655.292,17384.420556,23011.261992000003,13017.31974,6970.564764000001,0.0,17642.0,5406.0,6403.0,20.0,69658.0,42664.0,89.2,17.56,88.0,38001713.0,104714.6338,0.239066719,6179.837740545382,694.0106947838865,86.91756064015811
2011,11260.0,88379.0,24304.225,17684.6379,17876.862225,10251.964,3716.33695,0.0,12658.0,3927.999999999999,5876.0,11.0,71575.0,23934.0,317.1,17.797966804979254,241.0,22852724.0,926977.9378,0.22558668,0.0,0.0,0.0
2012,11260.0,88379.0,24304.225,17812.78745,18966.1334,10764.5622,3331.8882999999996,0.0,13588.000000000002,3899.0,6127.0,11.0,68670.0,25383.0,317.1,17.938823529411764,289.0,23400011.0,926977.9378,0.22558668,0.0,0.0,0.0
2011,12100.0,367803.0,81662.277,64045.90244599999,74505.752072,53380.958076,28380.859443,0.0,49612.0,23119.999999999996,29946.000000000004,79.0,106832.0,127111.0,608.0,15.168547717842324,241.0,17802041.0,17415.70591,0.241268681,1266.7557870935266,103.47565480823222,15.978818237462317
2012,12100.0,367803.0,81662.277,61809.70452800001,78515.030554,52261.20493699999,28896.904663,0.0,48980.00000000001,23869.000000000004,30362.0,79.0,103042.0,128195.0,668.4,17.364015748031495,254.0,17839703.0,17415.70591,0.241268681,1266.7557870935266,103.47565480823222,15.978818237462317
2012,12260.0,156017.0,36351.961,25368.988268,39010.802714,16872.770499,13641.814446,0.0,21471.0,6580.0,14237.0,8.0,43196.00000000001,55723.0,408.3,20.88,117.0,22623211.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
2011,12260.0,156017.0,36351.961,27044.298814000005,37694.487285,17231.765615999997,13043.489251,0.0,21081.0,7454.000000000001,13446.0,8.0,43895.0,53916.0,432.3,18.28,118.0,22186340.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
2012,12300.0,121090.0,25065.63,18916.80089,28807.311,15459.92357,9026.29078,0.0,17270.0,4678.0,9044.0,94.0,44725.0,47167.0,194.3,23.37,196.0,4645502.0,621.6060933,0.2,314.2784077832304,6.702541033010692,3.526121446338053
2011,12300.0,121090.0,25065.63,19588.97148,27655.01856,15555.94794,8834.242040000001,0.0,17341.0,4822.0,8931.0,94.0,45511.0,47326.0,257.1,25.67,272.0,4711332.0,621.6060933,0.2,314.2784077832304,6.702541033010692,3.526121446338053
2012,12420.0,1026158.0,246277.92,133359.49368,193410.25984,171573.61760000003,52251.96536000001,0.0,235333.0,38797.0,76195.0,727.0,51905.0,373443.0,599.0,14.86,170.0,100761664.0,110240.4282,0.20639744,22763.419503266327,4618.3383784551115,191.1061681479295
2011,12420.0,1026158.0,246277.92,144277.8148,177032.77816000002,167674.21719999998,53031.845440000005,0.0,253384.0,36879.0,72086.0,727.0,55650.0,373559.0,584.6,16.76,198.0,97352466.0,110240.4282,0.20639744,22763.419503266327,4618.3383784551115,191.1061681479295
2012,12580.0,1948441.0,436671.386,310381.25632399996,434221.921756,245471.68406400003,151481.53762000002,0.0,346927.0,83171.0,180524.0,1321.0,181394.0,693156.0,1802.6,15.824763705103967,529.0,162981268.0,80226.52268,0.295856965,19938.785830424873,2685.184036326515,66.89503699754884
2011,12580.0,1948441.0,436671.386,321197.29402800003,429240.53022600006,252629.40414,150503.03121,0.0,352753.0,77999.0,178363.0,1321.0,185781.0,686966.0,1892.4,16.15182305630027,373.0,158031305.0,80226.52268,0.295856965,19938.785830424873,2685.184036326515,66.89503699754884
2012,12620.0,149419.0,29734.381,26210.931561,37580.970366,19149.53904,12686.569614,0.0,23154.0,6462.0,9162.0,111.0,42602.0,57847.0,209.2,23.09,217.0,5649918.0,2043.739742,0.15,534.7029423149731,22.316352817650877,0.7043706836960746
2011,12620.0,149419.0,29734.381,28006.200846,34229.801034,19029.854421,11250.354186,0.0,23890.0,6470.0,8593.0,111.0,42704.0,55569.0,222.0,28.17,330.0,5619682.0,2043.739742,0.15,534.7029423149731,22.316352817650877,0.7043706836960746
2012,12700.0,221151.0,38701.425,26637.63795,33205.822649999995,34482.96967499999,15325.7643,0.0,28534.0,11283.0,10609.0,138.0,54871.0,83170.0,159.2,18.07,107.0,11058887.0,25556.6975,0.136555145,828.3927070439443,6.175499111550675,2.074437082165407
2011,12700.0,221151.0,38701.425,28279.684124999996,35212.767975,35395.21755,14778.415575000005,0.0,28689.0,10660.0,10454.0,138.0,57379.00000000001,85139.0,127.6,20.03,88.0,10899246.0,25556.6975,0.136555145,828.3927070439443,6.175499111550675,2.074437082165407
2012,12740.0,58696.0,11621.808,8520.428752000002,10544.619008,9414.8384,3295.1934400000005,0.0,9389.0,2115.0,3965.000000000001,76.0,51334.0,23284.0,168.3,25.18,126.0,3245480.0,16325.06766,0.166666667,74.99326250810101,4.0940804532499016,0.2829516288265823
2011,12740.0,58696.0,11621.808,8849.948096000002,10309.248048,9414.8384,3624.712784,0.0,9254.0,2296.0,3654.0,76.0,52832.0,23989.0,183.6,25.02,160.0,3118098.0,16325.06766,0.166666667,74.99326250810101,4.0940804532499016,0.2829516288265823
2012,12940.0,434633.0,104311.92,60779.07872,104711.78236,48887.51984,36665.63988,0.0,75354.0,15751.0,48393.0,162.0,44911.0,170168.0,657.6,18.61,101.0,52457695.0,7001.38863,0.391811024,0.0,0.0,0.0
2011,12940.0,434633.0,104311.92,65073.25276000001,97775.03968,52521.05172,35674.67664,0.0,65669.0,13450.0,46367.0,162.0,46563.0,165919.0,537.2,14.95,97.0,50582174.0,7001.38863,0.391811024,0.0,0.0,0.0
2012,13740.0,144797.0,34461.686,20743.039032,30673.217292000005,17984.656182000002,8826.82512,0.0,24970.0,4469.0,9539.0,18.0,48058.99999999999,59402.0,302.8,22.62,158.0,8898218.0,1664.692233,0.19761568,544.6174327085017,50.77201594253511,5.931671171913574
2011,13740.0,144797.0,34461.686,20963.70966,28466.511012000003,18315.662124,8937.160434000001,0.0,24051.0,3643.0,9257.0,18.0,49337.0,57711.0,379.4,25.15,252.0,8492009.0,1664.692233,0.19761568,544.6174327085017,50.77201594253511,5.931671171913574
2011,13820.0,665027.0,158276.426,115032.38029800002,159119.680236,76519.336674,60810.06888,0.0,116449.0,29567.0,64650.0,339.0,46269.0,248859.0,881.5999999999999,19.17,141.0,52786173.0,16320.91819,0.463629043,9073.89795499133,1727.1996321612723,106.99731581387152
2012,13820.0,665027.0,158276.426,111991.876854,162160.18368,73478.83322999999,62837.071176000005,0.0,114730.0,28236.0,65586.0,339.0,41740.0,246281.99999999997,801.2,17.73,199.0,54756047.0,16320.91819,0.463629043,9073.89795499133,1727.1996321612723,106.99731581387152
2012,13900.0,79822.0,17560.84,9899.52444,15689.81232,11456.053440000002,4482.80352,0.0,16290.0,1711.0,4057.0,34.0,55565.0,35284.0,340.6,15.38,86.0,6525529.0,1736.474756,0.198427523,642.4773467098723,45.36378883629449,11.469352533860206
2011,13900.0,79822.0,17560.84,10522.13604,15565.29,11829.6204,4171.49772,0.0,16624.0,1777.0,4185.0,34.0,54040.00000000001,34975.0,287.2,18.7,111.0,5594894.0,1736.474756,0.198427523,642.4773467098723,45.36378883629449,11.469352533860206
2012,14260.0,571271.0,158409.629,67356.854292,103994.407218,64188.724236,30119.873628000005,0.0,106842.0,26978.0,37543.0,31.0,93328.0,205278.0,637.5,20.701512915129147,271.0,24392424.0,620433.4304,0.208713041,2206.515713154024,296.2913042890497,8.04377646326392
2011,14260.0,571271.0,158409.629,69607.72751400001,100416.847245,66253.03109100001,30847.132641,0.0,107285.0,24536.0,34085.0,31.0,101135.0,202107.0,700.6,19.964742268041235,291.0,24490187.0,620433.4304,0.208713041,2206.515713154024,296.2913042890497,8.04377646326392
2012,14460.0,4588680.0,994384.234,549833.3241390001,822432.6021970001,679006.1781809999,288315.214334,0.0,913414.0,190033.0,262916.0,5259.0,463935.0,1570359.0,1972.4,17.512328767123286,2847.0,356528299.0,219190.7325,0.202725966,52465.22711054922,9029.077343771218,640.160290558974
2011,14460.0,4588680.0,994384.234,576806.944381,794086.1943900001,688042.55135,286353.608959,0.0,938168.0,190134.0,261322.0,5259.0,483898.0,1580615.0,1771.3,16.388713105076743,2541.0,340945790.0,219190.7325,0.202725966,52465.22711054922,9029.077343771218,640.160290558974
