Year,cbsacode,v051_rawvalue,v052_rawvalue,v009_rawvalue,v011_rawvalue,v049_rawvalue,v060_rawvalue,v070_numerator,v069_numerator,v023_numerator,v082_numerator,v062_numerator,v063_rawvalue,v067_numerator,v045_rawvalue,Data_value,Sample_Size
2011,10100.0,35204.0,7885.696,5217.796064,8058.899679999999,5545.615712000001,2076.191104,0.0,6147.0,746.0,1940.0,8.0,43140.0,15273.0,224.7,17.77,85.0
2011,10420.0,542405.0,123668.34,93797.01183999999,117246.2648,74535.12548,44804.82262,0.0,94515.0,29077.0,41007.0,375.0,49528.0,223355.0,364.6,16.6,112.0
2012,10420.0,542405.0,123668.34,86259.75196000001,121433.6314,73697.65216,43967.3493,0.0,90784.0,28913.0,40388.0,375.0,45768.0,221759.0,368.3,20.18,118.0
2011,10740.0,841428.0,207848.321,119645.415194,132813.285121,83828.102769,37536.718343,0.0,142157.0,29683.0,72115.0,174.0,146437.0,298296.0,1024.6999999999998,21.295515759312323,698.0
2012,10740.0,768515.0,188890.941,104113.34927699997,119447.357021,73239.331013,35823.223199,0.0,131916.0,31877.0,68841.0,171.0,100183.0,285827.0,878.4,21.34,609.0
2011,10900.0,109638.0,25655.292,18056.28222,23095.244700000003,13353.250572,6802.599348000001,0.0,18230.0,5300.0,6087.0,20.0,74721.0,43437.0,90.1,11.85,75.0
2012,10900.0,109638.0,25655.292,17384.420556,23011.261992000003,13017.31974,6970.564764000001,0.0,17642.0,5406.0,6403.0,20.0,69658.0,42664.0,89.2,17.56,88.0
2011,11260.0,88379.0,24304.225,17684.6379,17876.862225,10251.964,3716.33695,0.0,12658.0,3927.9999999999995,5876.0,11.0,71575.0,23934.0,317.1,17.797966804979254,241.0
2012,11260.0,88379.0,24304.225,17812.78745,18966.1334,10764.5622,3331.8882999999996,0.0,13588.000000000002,3899.0,6127.0,11.0,68670.0,25383.0,317.1,17.938823529411764,289.0
2011,12060.0,1781030.0,428767.43799999997,207263.201696,335979.318518,213455.83899199998,125608.30008999999,0.0,401509.0,84144.0,177255.0,1322.0,117390.00000000001,602161.0,1175.6999999999998,12.066193548387096,155.0
2011,12100.0,367803.0,81662.277,64045.90244599999,74505.752072,53380.958076,28380.859442999998,0.0,49612.0,23119.999999999996,29946.000000000004,79.0,106832.0,127111.0,608.0,15.168547717842323,241.0
