adult_smoking,adult_obesity,sti,excessive_drinking,population,under_18_pct,diabetes_prevalence,no_time_activity,edu_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,life_expectancy,65older,fipscode,diabetes_pop,obesity_pop,smoking_pop,drinking_pop,physical_inactivity,life_total
0.21092716,0.363,636.9,0.1479924765,4921532,0.220923688,0.122,0.308,761762,131065.0,339392.0,5818,53958.0,1778257.0,74.83594896,874244,1000,600426.904,1786516.116,1038084.76760912,728349.708853998,1515831.856,368307517.5570067
0.197,0.353,578.1,0.1616123561,56145,0.2318461127,0.112,0.322,8733,1262.0,3628.0,21,67565.0,21633.0,76.585649727,9082,1001,6288.24,19819.184999999998,11060.565,9073.7257332345,18078.69,4299901.303922415
0.199,0.296,336.0,0.2150352994,229287,0.2112854196,0.094,0.276,33289,5425.0,8613.0,228,71135.0,80588.0,77.724729177,49485,1003,21552.978,67868.95199999999,45628.113000000005,49304.798693527795,63283.21200000001,17821269.978806797
0.278,0.404,895.2,0.1392764247,24589,0.2047256903,0.165,0.416,2566,605.0,2822.0,6,38866.0,7189.0,72.867210115,4982,1005,4057.1850000000004,9933.956,6835.742,3424.6680069483004,10229.024,1791731.8295177352
0.252,0.412,540.3,0.1601675952,22136,0.1999457897,0.127,0.377,2392,573.0,1666.0,6,50907.0,7106.0,73.609363092,3780,1007,2811.272,9120.032,5578.272,3545.4698873472003,8345.272,1629416.8614045118
0.222,0.387,404.7,0.1617350466,57879,0.2280274365,0.114,0.333,7843,1008.0,3012.0,10,55203.0,19997.0,74.1714626,10999,1009,6598.206,22399.173,12849.138,9361.062762161398,19273.707000000002,4292970.0838254
0.252,0.438,742.5,0.1344554277,9976,0.2081996792,0.178,0.413,640,265.0,1333.0,2,33124.0,3207.0,73.81468226,1763,1011,1775.7279999999998,4369.488,2513.952,1341.3273467351999,4120.088,736375.27022576
0.246,0.397,1064.4,0.1355700813,19504,0.2205701395,0.151,0.407,1777,801.0,1809.0,13,42268.0,6818.0,73.473279047,4171,1013,2945.104,7743.088000000001,4797.984,2644.1588656752,7938.128,1433022.8345326881
0.226,0.359,729.7,0.1617061711,113469,0.2140055874,0.127,0.326,16656,3260.0,7621.0,161,50259.0,40053.0,72.825007074,21030,1015,14410.563,40735.371,25643.994000000002,18348.6375285459,36990.894,8263380.727679706
0.236,0.395,721.7,0.1419632837,32865,0.2052943861,0.139,0.369,4310,1078.0,2205.0,1,39318.0,12402.0,73.761104989,6768,1017,4568.235000000001,12981.675000000001,7756.139999999999,4665.6233188005,12127.185,2424158.715463485
0.247,0.343,274.9,0.1639801671,26294,0.1848710732,0.114,0.36,2890,530.0,1021.0,6,50388.0,8776.0,74.014400904,6382,1019,2997.516,9018.842,6494.6179999999995,4311.6945137274,9465.84,1946134.657369776
0.239,0.392,337.6,0.1595507776,44397,0.2376511926,0.123,0.353,4813,974.0,2723.0,27,52693.0,15032.0,74.391084705,7771,1021,5460.831,17403.624,10610.883,7083.5758731072,15672.141,3302740.987647885
0.246,0.397,500.4,0.1410653485,12418,0.1970526655,0.147,0.378,1712,308.0,1119.0,1,41649.0,3714.0,74.214010199,2982,1023,1825.446,4929.946,3054.828,1751.749497673,4694.004,921589.578651182
0.25,0.444,778.9,0.1377941267,23291,0.2127431197,0.148,0.396,2314,700.0,1862.0,21,44178.0,7203.0,71.737339284,4861,1025,3447.0679999999998,10341.204,5822.75,3209.3630049697,9223.236,1670834.369263644
0.256,0.371,559.1,0.1564713178,13112,0.2032489323,0.129,0.371,1096,245.0,689.0,2,44763.0,4725.0,72.89639799,2805,1027,1691.448,4864.552,3356.672,2051.6519189936002,4864.552,955817.5704448799
0.238,0.356,234.7,0.1644920509,14967,0.228502706,0.111,0.336,1728,262.0,590.0,8,50134.0,4911.0,74.346662647,3034,1029,1661.337,5328.2519999999995,3562.1459999999997,2461.9525258203,5028.912,1112746.499837649
