Year,cbsacode,Sample_Size,Data_value,Data_value_unit,v051_rawvalue,v052_rawvalue,v009_rawvalue,v011_rawvalue,v049_rawvalue,v060_rawvalue,v070_numerator,v069_numerator,v023_numerator,v082_numerator,v062_numerator,v063_rawvalue,v067_numerator,v045_rawvalue,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n
2011,10740,2880,21.78,%,857903.0,211769.37099999998,123687.78709399998,135700.693621,85547.993919,38302.509293,0.0,143682.0,30309.0,73613.0,174.0,182856.0,303398.0,1239.8,37141102.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2020,10740,1088,19.38,%,915927.0,202255.00017093398,111266.45443327528,173594.90696005683,117863.31205206749,53458.421987593465,114913.0,160147.0,20144.0,77031.0,3784.0000000000005,193896.0,327278.0,2223.1,46285238.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2019,10740,1016,16.87,%,910726.0,204493.00000904032,101728.22019648016,169008.33999770574,115075.25261724998,57659.758999221856,106437.0,158238.0,24275.0,79079.0,3620.0000000000005,191069.0,324496.0,2079.2,45784413.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2018,10740,1308,18.17,%,909906.0,207204.99998963403,101205.18157951934,158576.49100215928,114501.1048789599,56426.48500077456,113283.0,157389.0,25775.0,81469.0,3487.0,189386.0,321984.0,2093.7999999999997,43567308.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2017,10740,1440,22.02,%,907301.0,208968.9999915663,112905.59234191384,156051.67300153198,97792.85420980814,53530.42000054455,108484.0,155881.0,25644.0,83469.0,3334.0,189048.0,317893.0,1719.1,41881258.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2016,10740,1004,20.47,%,904587.0,210744.99996544042,117047.00400579305,149831.17800707603,109241.9870054308,69872.41900338106,117786.00000000001,154965.0,26441.0,84624.0,3107.0,181236.0,316438.0,1930.83672533,41152484.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2022,10740,1004,21.5,%,923630.0,198272.9999933826,107677.24200098417,213458.00300155158,116757.23625634167,75228.59000066278,0.0,167266.0,35520.0,58427.0,4104.0,227453.0,327861.0,2313.1,55286556.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2015,10740,1300,20.84,%,902797.0,213647.9999714203,123292.73000507861,146384.17000604392,88858.79800368067,46869.10500192573,114955.99999999999,151829.0,28117.0,85089.0,2951.0,180701.0,316697.0,1782.8999999999999,39874734.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2014,10740,1664,22.79,%,901700.0,216096.9999950709,122729.2400009512,144099.8390008488,88399.42800065057,43652.49700027278,117481.0,150478.0,29192.999999999996,82612.0,0.0,176687.0,315272.0,1662.3999999999999,38596658.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2013,10740,1748,20.25,%,898642.0,218434.00001028643,128118.95799824757,144806.14999759995,88086.68199872483,42799.8999993289,0.0,146862.0,31147.0,80118.0,478.00000000000006,173348.0,313475.0,1826.6,37168847.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2012,10740,2876,21.22,%,857903.0,211769.37099999998,121870.59727699998,137515.257491,81545.547623,40653.313909000004,0.0,143247.0,35751.0,78236.0,174.0,177323.0,313236.0,1435.4,37226565.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2021,10740,1328,22.09,%,918018.0,199605.99998924579,112194.65908783922,183504.86200229055,118926.7258966263,56510.35200068157,111376.0,160967.0,20047.0,59518.0,3900.0000000000005,221665.0,333885.0,2439.7,50306425.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524
2018,11260,322,20.0,%,402557.0,102329.99999822782,47686.28026144128,85971.1720003417,60382.96271061689,21924.133000089227,52083.0,78721.0,11935.0,29500.0,1092.0,155752.0,148328.0,1224.8,26668168.0,926977.9378,0.22558668,0.0,0.0,0.0
2012,11260,578,17.96,%,374553.0,98423.291,55770.620636000014,73464.251438,50842.944726,17327.513944000002,0.0,71105.0,14516.0,27897.999999999996,147.0,139194.0,136230.0,1136.8000000000002,23400011.0,926977.9378,0.22558668,0.0,0.0,0.0
2017,11260,398,19.64,%,399790.0,101386.999981743,47005.448883242105,82926.15400508181,66270.86765904723,21772.21400133515,49331.0,77845.0,11420.0,30564.000000000004,1020.0,154392.0,147314.0,1256.4,25842697.0,926977.9378,0.22558668,0.0,0.0,0.0
2019,11260,368,17.21,%,400888.0,100962.000000102,47702.00421263696,89271.28600001114,60374.3677656135,23549.447999993838,52839.99999999999,80262.0,13392.0,27996.0,1163.0,150875.0,149669.0,1256.9,27247439.0,926977.9378,0.22558668,0.0,0.0,0.0
2015,11260,368,16.55,%,396142.0,101945.00000930463,53416.39399858228,80909.78599751869,54288.778998277834,21144.453999351965,52321.0,75866.0,11027.0,29345.000000000004,882.9999999999999,148733.0,142325.0,1269.3,25096824.0,926977.9378,0.22558668,0.0,0.0,0.0
2013,11260,532,16.47,%,387516.0,101961.999994878,55303.18500109321,75955.0210013993,53267.70500094126,17924.846000308273,0.0,72704.0,13446.0,28262.0,146.0,140236.0,138229.0,1360.9,23521010.0,926977.9378,0.22558668,0.0,0.0,0.0
2016,11260,342,18.16,%,398892.0,101730.0000098514,51243.95199820796,81584.94399726127,67958.65799777933,21311.849999288097,53320.0,77255.0,11762.0,30263.0,947.9999999999999,149181.0,145154.0,1414.71725569,25726817.0,926977.9378,0.22558668,0.0,0.0,0.0
2011,11260,482,17.54,%,374553.0,98423.291,58399.185228,74071.419735,49694.181723999995,18560.182330000003,0.0,70584.0,14187.0,27308.0,147.0,145971.0,132468.0,1110.0,22852724.0,926977.9378,0.22558668,0.0,0.0,0.0
2020,11260,402,16.62,%,399148.0,100198.999963842,46902.789210304116,97113.2820103727,63885.66762197283,24026.772002430713,54488.0,80163.0,11988.0,27905.0,1359.0,156762.0,149321.0,1239.1,26821382.0,926977.9378,0.22558668,0.0,0.0,0.0
2014,11260,616,16.1,%,392535.0,101007.00000637349,52880.81099912353,77699.3389984105,53797.23399881855,20271.51399955149,58050.99999999999,73879.0,12060.0,29684.0,0.0,139203.0,141088.0,1330.8,24069105.0,926977.9378,0.22558668,0.0,0.0,0.0
2021,11260,768,20.38,%,396317.0,97782.9999945639,53219.2860361975,93665.47600145849,54300.621637726836,25475.516000435808,51439.0,81128.0,10663.0,21025.0,1616.0,158368.0,148641.0,1269.9,29069153.0,926977.9378,0.22558668,0.0,0.0,0.0
2022,11260,1018,21.39,%,397308.0,97336.9999943625,49554.69300107804,93148.17900179297,62477.42108288211,24734.96500045834,0.0,81349.0,14961.000000000002,18808.0,2042.9999999999998,174079.0,144736.0,1320.4,31733418.0,926977.9378,0.22558668,0.0,0.0,0.0
2013,12060,16269,15.609999999999996,%,5389003.0,1406806.00000026,612586.2320579661,1054490.418999987,593662.0586665024,366386.16300007526,0.0,1051158.0,260176.0,459182.00000000006,1940.0,1472541.0,1898881.0,8889.300000000001,307944632.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2017,12060,13166,15.489999999999997,%,5724002.0,1442941.0000334226,682430.3380009341,1207628.400991474,726984.269367172,424352.5029966867,835100.0,1072009.0,158678.0,495484.0,7182.000000000001,1629096.0,1989136.0,10763.0,398606406.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2015,12060,9657,14.580000000000004,%,5535901.0,1420513.0000209843,614136.9415785255,1100621.0319949458,619109.7792536702,387280.7269984892,825312.0,1059710.0,216105.0,480039.0,5947.0,1529497.0,1905431.0,11055.100000000002,352190929.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2014,12060,13659,17.310000000000002,%,5470385.0,1409777.0000148145,606106.6661831846,1073832.3939953689,610963.1060584448,378267.58699774975,848352.0,1064192.0,242387.0,470148.0,0.0,1500986.0,1904693.9999999998,10918.1,327954117.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2012,12060,11107,14.509999999999993,%,5503952.0,1483402.583,650603.2191601081,1063316.3646970002,596260.760279099,369674.9863770001,0.0,1038205.9999999999,273675.0,448021.0,1928.0,1487208.0,1892149.0,8338.900000000001,294208439.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2011,12060,15892,13.45,%,5503952.0,1483402.583,688901.4354098078,1063976.563107,605445.2490405126,382898.9857920001,0.0,1066375.0,260002.00000000003,457387.0,1928.0,1608146.0,1942529.0,8768.199999999999,282418574.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2022,12060,18879,17.93,%,6102687.0,1450641.000026803,741569.2179957759,1501001.0979912109,831541.2502775871,528676.0829963743,0.0,1164723.0,209740.0,408810.00000000006,10845.0,1988654.0,2184102.0,12826.5,534892069.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2019,12060,13630,14.760000000000003,%,5899010.0,1457285.9999802029,697964.7848105031,1278706.298004051,734057.9935173292,462596.4720022283,912486.9999999999,1096755.0,138109.0,496409.0,8346.0,1761743.0,2101806.0,13099.600000000004,447126476.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2016,12060,9889,13.310000000000002,%,5627292.0,1429759.999962395,620512.4990050937,1139796.1800067828,692603.0330073233,445865.16300340166,856548.0,1064923.0,192299.0,490402.00000000006,6492.0,1537062.0,1933830.0,6627.718353073001,376578400.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2018,12060,20329,15.62,%,5802676.0,1451394.0000288445,683760.1982770637,1244771.8379920856,719072.2462510247,444159.7589972091,892065.0,1083644.0,150401.0,499193.0,7814.000000000001,1685537.0,2044282.0,7987.299999999999,420938318.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
