Locationabbr,Locationdesc,year,Sample_Size,Data_value,Data_value_unit,Data_value_type,countyname_combined,fips_combined,adult_population,adult_population18_65,population,total_65_and_older,total_adult_obesity,total_adult_smoking,total_below_18_years_of_age,total_children_in_poverty,total_children_in_single-parent_households,total_excessive_drinking,total_female,total_homicides,total_mental_health_providers,total_motor_vehicle_crash_deaths,total_not_proficient_in_english,total_physical_inactivity,total_poor_mental_health_days,total_poor_or_fair_health,total_poor_physical_health_days,total_premature_death,total_primary_care_physicians,total_rural,total_sexually_transmitted_infections,total_uninsured_adults,total_violent_crime
10420,"Akron, OH Metropolitan Statistical Area",2011.0,129,16.18,%,Crude Prevalence,PORTAGE; SUMMIT,39133; 39153,543027.83,445615.135,699935.0,97412.69499999999,153042.12176,124372.63966000002,156907.16999999998,26557.39725,49698.515880000006,90568.68641,361078.745,28.870980000000003,10943.720893956153,68.104925,11338.59,136737.98858,82124.51666666666,69272.27818000001,74659.73333333334,49313.040355000005,8379.799699784437,88225.775,2233.12229,62880.48527500001,0.0
10420,"Akron, OH Metropolitan Statistical Area",2012.0,131,17.24,%,Crude Prevalence,PORTAGE; SUMMIT,39133; 39153,543027.83,445615.135,699935.0,97412.69499999999,158348.10889,120812.69722,156907.16999999998,33717.936389999995,49548.5761213657,91595.58064,361078.745,29.4617537,10943.720893956153,65.7253661219495,12025.856406329,137424.57416999998,80841.6,69645.15169,77750.66666666667,49249.688113,8379.799699784437,88225.775,2324.867425,70831.9008,2499.5545936277567
10420,"Akron, OH Metropolitan Statistical Area",2013.0,147,22.55,%,Crude Prevalence,PORTAGE; SUMMIT,39133; 39153,547567.0000058616,446675.99999074,701456.0,100891.00001512161,159696.96800171238,118506.94900129896,153888.9999941384,36524.417998646415,50776.006635880316,96015.21100101797,361372.0000313264,31.00145512564382,11974.416878146054,57.388453742817745,5240.4253375288,138731.87700150313,82558.48,75693.18000081071,80759.04000000001,49575.12376480001,9998.122155926816,73961.711314228,2595.03896,76257.68999843583,2467.2701071983606
10420,"Akron, OH Metropolitan Statistical Area",2015.0,111,20.27,%,Crude Prevalence,PORTAGE; SUMMIT,39133; 39153,555463.0000060966,446857.999988873,705686.0,108605.0000172236,156322.66000166445,115766.88100050105,150222.9999939034,30248.713998587893,51161.50853731818,100222.64200122826,363356.9999864998,33.997346,4897.880812651388,55.87635677571481,5777.6182303042,131246.47600128662,81405.08,79274.00100102401,82497.49333333335,49379.487376,9728.18317416154,74773.297384906,3103.393158,71770.08496047152,2335.8309579657466
10420,"Akron, OH Metropolitan Statistical Area",2018.0,107,24.01,%,Crude Prevalence,PORTAGE; SUMMIT,39133; 39153,556290.9999907087,439413.9999847713,702221.0,116877.0000059373,171725.31999698924,109804.18725528453,145930.0000092914,27306.57900220587,51005.52183471783,100306.37578548574,360419.0000210094,34.2304750134096,3596.342233512194,53.636367990947946,7609.789379217601,142085.40199768794,90939.53326886006,84531.34450256985,88105.85074963336,52208.89305913062,9516.62121715023,74077.309760365,3012.1448219999997,37212.95623639766,2214.126912807456
10420,"Akron, OH Metropolitan Statistical Area",2019.0,96,18.44,%,Crude Prevalence,PORTAGE; SUMMIT,39133; 39153,558656.9999882317,438293.9999856781,703505.0,120363.0000025536,164115.3779964691,110268.91420863548,144848.0000117683,25611.8240018464,51364.201506874204,100731.37169433999,361317.0000173287,38.100806,3098.385855714518,57.016365300173874,7902.8439461368,135654.54299716544,91105.97448291021,84891.18084000598,88266.89957314287,60785.402752559174,9861.639923366438,74230.10071957699,3717.8154210000002,34012.36037604734,1969.0872810489054
10420,"Akron, OH Metropolitan Statistical Area",2020.0,147,25.57,%,Crude Prevalence,PORTAGE; SUMMIT,39133; 39153,561086.0000152523,437059.9999970392,704845.0,124026.0000182131,165646.37800457084,104248.74201646699,143758.9999847477,24180.832997310004,50466.98541423963,104677.2098970853,362015.00000061176,38.90063001088875,2742.1847297275863,54.65687344708519,8283.6120905219,149147.98200407563,104687.98243466167,95500.37477918268,90356.6822040508,59936.4470903355,9723.32749096068,74470.136514012,3724.04473,33504.99218479397,1972.1164367940346
10420,"Akron, OH Metropolitan Statistical Area",2021.0,135,23.28,%,Crude Prevalence,PORTAGE; SUMMIT,39133; 39153,561226.9999973637,433488.0000072452,703479.0,127738.99999011832,170733.39299904957,128184.41716223911,142252.0000026364,27588.436000848156,38583.20681568041,99738.43702848992,361525.0000156046,40.68256488734431,2604.5004524205797,52.96342208832013,9089.097208696501,145055.36899925114,112424.73400056966,96135.85402509576,94323.99438278566,57777.29226892655,9593.69156097464,74283.78315671449,4097.538356999999,36875.04730336649,1968.6018310715035
10420,"Akron, OH Metropolitan Statistical Area",2022.0,170,26.26,%,Crude Prevalence,PORTAGE; SUMMIT,39133; 39153,560249.9999968291,429231.00000725733,701449.0,131018.9999895718,196448.0679989467,119864.97399932993,141199.0000031709,21048.528000538845,39253.45785955268,103789.58191801955,360823.00000469317,44.838719404610785,2410.455263232262,56.27696753878622,9615.8927556648,155588.0429991257,118503.36444291117,103997.68999939048,97254.62583609193,57907.262497337506,9934.313877955254,74238.942928454,4150.724677,39563.522263796185,1961.6813336418475
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2015.0,176,19.39,%,Crude Prevalence,ALBANY; RENSSELAER; SARATOGA; SCHENECTADY; SCHOHARIE,36001; 36083; 36091; 36093; 36095,698403.0000078464,565024.0000046537,877905.0,133379.0000031927,180415.91100207457,123427.59500152439,179501.9999921536,30142.161997839885,56826.55978806284,131820.09200109032,448691.99998526386,20.041258000000003,5302.4687455826925,65.03308420279323,10266.4007343004,159616.28400185253,88696.85333333333,95415.93900117718,91996.98333333334,48762.2667347,12807.789320850572,184680.4213378593,3149.119964,60739.85461266941,2497.195126881255
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2016.0,438,15.11,%,Crude Prevalence,ALBANY; RENSSELAER; SARATOGA; SCHENECTADY; SCHOHARIE,36001; 36083; 36091; 36093; 36095,701540.0000002803,564099.9999928611,880167.0,137440.0000074193,181857.66100013067,99740.93900005627,178626.9999997197,30302.01699932189,56709.99998773462,137133.3769999476,449532.0000066752,20.639049,5096.596496023112,61.66468705648557,9768.3886218431,159200.41100002872,100145.97666666667,80928.76600019292,93819.42333333332,50435.910247,12538.33083260685,184874.2325847311,3285.831358081831,57967.17057317994,2503.6389547971407
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2017.0,133,24.01,%,Crude Prevalence,ALBANY; RENSSELAER; SARATOGA; SCHENECTADY; SCHOHARIE,36001; 36083; 36091; 36093; 36095,704528.9999848927,563695.9999708255,881830.0,140833.00001406722,184887.49199606216,106048.92786491397,177301.0000151073,26823.331001666764,56607.89805792006,142989.35515015043,450143.99999147386,22.839260000000003,4930.455419722131,59.57378046845531,10086.8553687592,156990.50299653114,106135.24873983736,81345.78531245116,97979.67273461811,50117.326570000005,12703.863493817267,185251.8036219475,3573.040094,45987.33004401171,2370.163811770137
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2018.0,512,17.17,%,Crude Prevalence,ALBANY; RENSSELAER; SARATOGA; SCHENECTADY; SCHOHARIE,36001; 36083; 36091; 36093; 36095,705634.99998525,561162.999977709,881839.0,144472.0000075409,191443.20799620863,111890.03157534296,176204.0000147501,25415.838001567896,56352.99496490037,149386.4049093841,449991.0000188817,22.366766306115647,4636.886593481966,60.18707516613392,10409.3734801671,163658.24599662508,112479.44915074324,93098.29615491393,101840.5543401324,50809.612500278075,12380.712494320665,185366.08830751618,3831.776468,35793.822917444944,2368.2188444118165
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2019.0,136,19.41,%,Crude Prevalence,ALBANY; RENSSELAER; SARATOGA; SCHENECTADY; SCHOHARIE,36001; 36083; 36091; 36093; 36095,711353.0000084471,561230.0000143532,886188.0,150122.9999940939,200076.41800219286,112795.0316959087,174834.9999915529,23491.55099836236,56105.17532081507,150614.92622514573,452185.00001215877,22.225944,4437.599753076054,59.19265102405152,10769.2647082982,153908.75600189448,113023.31886537538,93811.69473895441,102333.80878085586,51831.18939938692,12419.136204591128,186345.77281029118,3900.6103799999996,30149.88967557744,2497.4068907578403
