CBSA Code,Num_Parks,Park_Area_Acres,Num_County,Num_Urban_Area,County_FIPS,Weighted_RESP,Weighted_UHI
10100,20,550.7733005,1,1,46013,0.169974106,-0.457756099
10140,105,104080.1414,1,5,53027,0.308462226,1.027633029
10180,40,3252.752494,3,3,"48441, 48253, 48059",0.201491843,1.137626932
10220,3,87.79480673,1,1,40123,0.297794022,0.248900364
10300,28,741.3775988,1,2,26091,0.2,0.060842236
10380,40,148.9175051,6,2,"72117, 72005, 72003, 72011, 72071, 72131",0.19487766,0.523326433
10420,336,41598.15136,2,4,"39153, 39133",0.216675108,0.151977359
10460,27,1095434.797,1,2,35035,0.1,-0.045473985
10480,20,507.9970471,1,1,8003,0.1,0.552206263
10500,86,2951.173366,4,4,"13095, 13177, 13273, 13321",0.401364295,0.324854808
10540,66,1088.410985,1,6,41043,0.343513547,0.641588213
10580,255,19106.72324,5,7,"36001, 36083, 36091, 36093, 36095",0.186304925,-0.114302351
10620,13,346.8903104,1,2,37167,0.35,0.073079621
10660,41,2624.692396,1,1,27047,0.2,0.696881325
10700,14,397.3124052,1,2,1095,0.349118752,0.474396257
10740,634,36984.81568,3,4,"35001, 35043, 35061",0.14547557,0.115032923
10760,3,223.7633645,1,2,1123,0.44620627,0.038193333
10780,28,608777.0202,2,2,"22079, 22043",0.399303239,0.11810119
10820,25,12408.78873,1,1,27041,0.2,0.055207519
10860,21,1164.598915,2,3,"48249, 48047",0.2,0.029751278
10900,839,104714.6338,4,12,"34041, 42077, 42095, 42025",0.239066719,0.330431883
10940,10,105.7205667,1,1,26057,0.198542783,0.174211989
10980,21,132.069895,1,1,26007,0.1,2.506945568
11020,152,62252.17069,1,8,42013,0.200190219,0.259517852
11060,14,110.9414496,1,1,40065,0.2,0.62193452
11100,58,44806.57662,2,3,"48381, 48375",0.2,-0.334106659
11140,15,64.30391251,1,1,13261,0.4,0.685499829
11180,103,2337.10549,2,6,"19169, 19015",0.2,-0.10754317
11200,197,12202.3718,1,3,25015,0.209675693,0.051766797
11220,32,695.5527649,1,3,36057,0.2,0.16460361
11260,365,926977.9378,2,2,"02020, 02170",0.22558668,2.767050551
11360,14,1442.896549,1,5,37085,0.320441276,0.108708866
11380,7,102.5460369,1,1,48003,0.2,0.660778821
11420,7,1261.76034,1,1,18151,0.2,-0.149139109
11460,287,20594.83428,1,4,26161,0.200316362,0.097670226
11500,20,4531.238917,1,2,1015,0.432114279,0.309684856
11540,134,11113.84334,2,8,"55087, 55015",0.20181263,0.28213463
11580,6,156.9382615,1,1,12027,0.3,-0.009117844
11620,10,18471.77299,1,1,40019,0.3,-0.206166479
11640,37,82.24194908,4,3,"72013, 72027, 72065, 72115",0.196585107,0.278913704
11660,5,82.80671038,1,1,5019,0.46859048,0.312228058
11680,30,3491.011126,1,2,20035,0.3,1.119071262
11700,114,3743.622962,3,3,"37021, 37089, 37115",0.258663185,0.19413465
11740,15,434.91343,1,1,39005,0.2,0.198300084
11820,38,7327.858196,1,2,41007,0.227105693,0.923342667
11860,11,326.5377336,1,1,20005,0.308338536,0.198180741
11900,22,4061.417975,1,3,39009,0.26636606,0.407713185
11940,11,262.7056893,1,3,47107,0.434016489,0.120461595
11980,18,399.8431213,1,5,48213,0.3,0.957875019
12020,35,2668.543057,2,1,"13059, 13219",0.4,-0.122754268
12060,1739,139783.192,26,19,"13067, 13121, 13117, 13089, 13057, 13063, 13013, 13015, 13077, 13097, 13113, 13135, 13151, 13247, 13217, 13223, 13255, 13297, 13045, 13035, 13227, 13211, 13199, 13159, 13187, 13143",0.407442606,0.398654671
12100,189,17415.70591,2,5,"34001, 34009",0.241268681,0.05433273
12140,32,309.4241533,1,2,18033,0.204530992,0.258229666
12180,32,234.6589322,1,2,36011,0.2,0.140564569
12220,25,753.5736954,2,3,"01081, 01087",0.5,0.276533685
12260,130,3976.123756,6,5,"45003, 13245, 13073, 45037, 13189, 13033",0.400426965,0.177445825
12300,28,621.6060933,1,2,23011,0.2,0.152023037
12380,21,786.2503656,1,1,27099,0.2,0.194153923
