cbsacode,year,gdp
10100.0,2011,2138378.0
10100.0,2012,2163493.0
10100.0,2013,2466400.0
10100.0,2014,2416943.0
10100.0,2015,2417765.0
10100.0,2016,2350827.0
10100.0,2017,2267869.0
10100.0,2018,2545513.0
10100.0,2019,2423280.0
10100.0,2020,2699958.0
10100.0,2021,3112942.0
10100.0,2022,3439940.0
10140.0,2011,2216847.0
10140.0,2012,2184044.0
10140.0,2013,2223661.0
10140.0,2014,2298626.0
10140.0,2015,2405258.0
10140.0,2016,2397482.0
10140.0,2017,2441663.0
10140.0,2018,2548014.0
10140.0,2019,2697837.0
10140.0,2020,2642030.0
10140.0,2021,3108656.0
10140.0,2022,3442875.0
10180.0,2011,5962398.0
10180.0,2012,6249717.0
10180.0,2013,6462183.0
10180.0,2014,6700755.0
10180.0,2015,6632436.0
10180.0,2016,6576471.0
10180.0,2017,6827152.0
10180.0,2018,7301986.0
10180.0,2019,7792209.0
10180.0,2020,7891821.0
10180.0,2021,8503702.0
10180.0,2022,9606966.0
10220.0,2011,1688494.0
10220.0,2012,1648097.0
10220.0,2013,1706082.0
10220.0,2014,1729558.0
10220.0,2015,1701353.0
10220.0,2016,1796680.0
10220.0,2017,1878007.0
10220.0,2018,2017252.0
10220.0,2019,2100430.0
10220.0,2020,2108583.0
10220.0,2021,2315705.0
10220.0,2022,2564945.0
10300.0,2011,2525891.0
10300.0,2012,2567979.0
10300.0,2013,2630185.0
10300.0,2014,2664567.0
10300.0,2015,2839590.0
10300.0,2016,2947634.0
10300.0,2017,2925613.0
10300.0,2018,3171011.0
10300.0,2019,3051416.0
10300.0,2020,3200350.0
10300.0,2021,3554984.0
10300.0,2022,3938601.0
10420.0,2011,30090713.0
10420.0,2012,31046119.0
10420.0,2013,32306807.0
10420.0,2014,33594178.0
10420.0,2015,34675464.0
10420.0,2016,35297434.0
10420.0,2017,36424857.0
10420.0,2018,37615672.0
10420.0,2019,39034786.0
10420.0,2020,38407315.0
10420.0,2021,41567460.0
10420.0,2022,44539393.0
10460.0,2011,2597622.0
10460.0,2012,2607843.0
10460.0,2013,2602211.0
10460.0,2014,2590536.0
10460.0,2015,2624465.0
10460.0,2016,2692504.0
10460.0,2017,2683571.0
10460.0,2018,2783795.0
10460.0,2019,2858197.0
10460.0,2020,2984341.0
10460.0,2021,3185945.0
10460.0,2022,3423019.0
10480.0,2011,807038.0
10480.0,2012,773938.0
10480.0,2013,828094.0
10480.0,2014,833849.0
10480.0,2015,917473.0
10480.0,2016,894651.0
10480.0,2017,938634.0
10480.0,2018,1002600.0
10480.0,2019,1051614.0
10480.0,2020,1015284.0
10480.0,2021,1125012.0
10480.0,2022,1168287.0
10500.0,2011,5066886.0
10500.0,2012,5238167.0
10500.0,2013,5359051.0
10500.0,2014,5360790.0
10500.0,2015,5453903.0
10500.0,2016,5642543.0
10500.0,2017,5693672.0
10500.0,2018,5823243.0
10500.0,2019,6099135.0
10500.0,2020,6154078.0
10500.0,2021,6776341.0
10500.0,2022,7351145.0
10540.0,2011,3546439.0
10540.0,2012,3630458.0
10540.0,2013,3752211.0
10540.0,2014,3961462.0
10540.0,2015,4188777.0
10540.0,2016,4460062.0
10540.0,2017,4505965.0
10540.0,2018,4955241.0
10540.0,2019,5142195.0
10540.0,2020,5080986.0
10540.0,2021,5586729.0
10540.0,2022,6177586.0
10580.0,2011,48216808.0
10580.0,2012,49401208.0
10580.0,2013,51351856.0
10580.0,2014,53342351.0
10580.0,2015,56223752.0
10580.0,2016,58525066.0
10580.0,2017,61024034.0
10580.0,2018,62555399.0
10580.0,2019,66600348.0
10580.0,2020,67056531.0
10580.0,2021,75038332.0
10580.0,2022,79477183.0
10620.0,2011,1450030.0
10620.0,2012,1578057.0
10620.0,2013,1624002.0
10620.0,2014,1629688.0
10620.0,2015,1673208.0
10620.0,2016,1759105.0
10620.0,2017,1821812.0
10620.0,2018,1860754.0
10620.0,2019,1901257.0
10620.0,2020,1879727.0
10620.0,2021,2089214.0
10620.0,2022,2341623.0
10660.0,2011,1132564.0
10660.0,2012,1165340.0
10660.0,2013,1270943.0
10660.0,2014,1180807.0
10660.0,2015,1201219.0
10660.0,2016,1200142.0
10660.0,2017,1228317.0
10660.0,2018,1215088.0
10660.0,2019,1277949.0
10660.0,2020,1295645.0
10660.0,2021,1493539.0
10660.0,2022,1646419.0
10700.0,2011,2638704.0
