CBSA,road_network_total,auto_net_total,multimodal_net_total,pedestrian_net_total,street_intersection_total,auto_intersections_total,multimodal_3leg_intersections_total,multimodal_4leg_intersections_total,pedestrian_3leg_intersections_total,pedestrian_4leg_intersections_total,Ac_Land
10100.0,3284659.6768545927,405321.770782689,2646971.755560377,232366.1509776215,2253481.5997932116,441599.9996826077,802560.0000730163,824960.0001221184,602240.0000698899,491520.0002147041,1816927.4311501998
10140.0,2374546.7359121284,104440.89156707925,159955.53700487944,2110150.3073306493,2589726.720188022,143999.99996864714,423680.00016178197,113919.99999083343,2356480.0001623486,621440.0000700855,1216909.733325
10180.0,4222980.656817023,649977.5554171898,1960052.0650015962,1612951.036084806,6348198.399811403,1219199.9998758468,2706559.999947324,566400.0002107887,3808640.000143286,1436159.9998480019,1755788.4181257
10220.0,1003198.0374802948,118841.5021588591,556115.9008407413,328240.63454879075,1655392.0000739952,208639.99997417614,862719.9999967349,156159.99995845722,833279.9999388941,368000.00008585834,461048.0308452
10300.0,1318876.8768637632,241518.103246409,812170.257736874,265188.5159209319,1677813.7601225842,422400.0000032765,858240.0000456945,213120.0000053305,903040.0000231444,289920.0000097088,479745.6727602
10380.0,2129933.7763134586,79390.76370916062,106044.3396432713,1944498.6729447732,6399621.760027104,439039.9999986164,735359.9999896324,120960.00000680768,7729920.000023755,632319.9999983795,302086.6460685
10420.0,3468618.436798777,377079.9184907302,1134100.173058007,1957438.3452446596,10487480.319794519,472319.9999719358,3440639.9999349588,900480.0000029727,7480320.000054073,2302719.999983229,576110.987742
10460.0,3200581.972081662,210148.55906753542,1691331.956640813,1299101.4549976115,2581681.281150779,180480.0004389442,1607040.0006381397,190719.9991782828,1356799.9999861864,414079.9997856076,4231947.4717845
10500.0,2448946.8108634637,384913.3890989178,1353346.9103369273,710686.5115105925,4565648.640051724,587519.9999907158,1967999.99994994,422399.9999403695,2817919.999994227,951039.9999219064,1018203.1893635
10540.0,3127758.2180916243,380096.4735768415,569184.8146757162,2178476.9290671106,2675590.399732671,508800.00020125764,799999.9999706144,122239.99991980511,2291199.999609767,491520.0001700316,1463804.7211931
10580.0,6231369.279821113,1000420.3518567903,1341772.6887584724,3889176.239353421,13175142.399895055,1762559.999964135,3903360.0000564554,716160.0000640257,11763839.999822807,2008960.000004771,1799436.1179578
10620.0,852082.8613117415,74035.08221946405,42749.398089571725,735298.3809876591,1393185.2799673514,205439.99998947966,202879.9999969881,51839.99999564935,1432959.9999311366,250240.00000276248,252879.8394984
10660.0,1155019.997658875,259226.65931545943,653297.6376785857,242495.70070046594,1291367.0400335544,369920.0000691059,791039.9999878766,148480.00003680092,670080.0000390259,168320.00000747372,452627.0195432
10700.0,1282863.8617744262,120682.47853052434,1116107.9811320559,46073.40206721667,2166216.9599791802,344319.99997720186,2571519.99995029,380799.9999804404,79360.00002118263,17280.000000748158,362132.9233451
10740.0,11058540.689590368,772291.7716127889,5003383.800508121,5282865.119300042,21744321.28025443,866559.9999864209,6960640.000006418,1993600.0000946906,17043199.99935531,3740160.000296915,5941198.8531256
10760.0,1712438.280062784,191303.54245848968,1245992.0412049214,275142.6964891265,1948362.2400039139,392320.00000411493,2170880.0000547105,215679.99995752666,355840.0000632787,47359.999944053474,875137.6788881
10780.0,2703258.7981126946,497431.0994054012,1454303.2380564162,751524.4608074353,3424035.8399431547,757120.0000463217,2372480.0000287467,314879.99999851553,1575040.000101887,476159.9999928575,1256529.6337844
10820.0,1145288.2776765916,217915.74004290882,711048.2945700206,216324.24302632207,1292856.3200463902,367360.00002641295,1023359.9999760066,118399.99993839936,425600.0000330289,208000.00004732722,407513.4788251
10860.0,2140994.4170907554,318660.81789378385,849464.0813056969,972869.518440284,2278554.87999014,357759.99992806447,861440.0001520192,142720.00007064012,1523199.9999701928,545279.9999204576,1701496.9690993999
10900.0,5096718.829171509,376814.9703393766,1370676.9565862438,3349226.902240781,16914344.31983299,454399.99994999403,4647679.999986205,1498880.000001002,11985279.9998514,4321279.999981122,929811.5264665
10940.0,956374.3356756689,179123.20314662016,622810.9981125898,154440.13443843302,933160.9599957538,231040.00000715378,419840.00003680494,257920.00001483347,343040.0000094715,166400.0000017004,363755.6466009
10980.0,781919.7412487407,85426.68441606253,560061.6040021139,136431.45285707025,896735.3599166322,168320.0000426946,664319.9999370612,101759.99998735714,261760.00001611453,177279.9999978253,365986.637369
11020.0,1212195.182200417,132837.0206944279,739760.9922817794,339597.1691883719,3248627.19990982,209279.99998533967,2058240.000010499,384639.99997044157,1103360.0000282703,755200.0000243636,336505.5023195
11060.0,1069165.0122069244,81851.53488819768,709538.7991179696,277774.67819376825,1362698.2399017387,132479.99997665393,521599.999865535,309119.99985235813,533119.9999766204,350079.99990769965,513686.4316969
11100.0,5432482.229763425,946274.5203046896,2282079.6652570744,2204128.0449929223,7332986.880069335,1196160.000229636,2760319.9998840042,867840.0001744131,3880319.999803673,2035839.9994833288,3296049.9207169
11140.0,820671.9028914659,206309.69533952407,476539.51055278064,137822.69688434093,820168.9600138629,335360.0000428107,577279.9999411168,63999.99998510337,409600.00000678585,97920.00003535637,415853.852283
11180.0,1977622.5240733193,356563.69932569953,569164.199203258,1051894.6255122307,3308503.6799767623,451840.000017471,575359.9999965306,266240.00006747246,2375680.000039212,1073919.9999186257,732209.2502923
11220.0,755511.4505428134,184100.29423701347,236130.08714768864,335281.069153928,937545.5999888713,257920.00002117985,346880.0000305109,58879.999985484734,769920.0000022664,133759.99999496367,257988.9482875
11260.0,3141987.0835458855,410376.6821074068,373787.17537291255,2357823.2346793907,6639864.326360475,653439.9954015397,1229440.0055378345,298879.99831800134,6683519.994054559,1063039.9952884759,16909017.1141925
11380.0,3150502.555447144,166795.17708492742,385202.2319554497,2598505.1464068796,6105869.440228904,272639.9996432951,909439.9999533233,204159.9999092033,6298880.000145886,1093760.000034294,960440.6992505
11420.0,695935.7613920169,114029.16152529443,478097.1007540153,103809.49912605986,1162257.280029205,168960.0000065692,1020799.9999676018,162560.00000929102,311039.9999999664,111359.99999247323,197613.10953319998
11460.0,2024545.4948693304,286306.98660964274,509566.6417447346,1228671.866491229,5501189.7600259865,487679.99999263877,1463039.9999768522,351359.99999638135,4826239.999901374,954880.0000043318,451806.8526363
11500.0,1489553.2672652837,138606.99714642297,482067.16332137206,868879.1067959191,3311123.839927242,321919.99999865564,1158400.0000196043,157439.99996781605,2613119.999956761,638079.9999691342,387748.1507261
11540.0,2025152.7387823414,861416.5106210052,315466.81484238384,848269.413253632,3642172.8000659533,1023999.999985202,604160.000014371,182399.99999043904,3034239.999970133,1032959.9999755652,611736.7451386
11580.0,638490.6491197522,93369.2081015128,454631.0303152709,90490.41076211486,1018183.6799908953,181759.99998438495,780799.9999544682,154240.0000789551,330240.000053124,122880.00002242344,407474.7073203
11620.0,2142120.5359160067,248841.94111964904,876936.8429840653,1016341.7518198194,4334216.319894668,407680.00007263385,1676160.0002104775,251520.00005900423,3212800.0000119,821759.9999669988,855093.8122708
11640.0,905546.3818554739,49990.57009122621,101495.24512301157,754060.5666327619,3133100.1599509367,85759.99999998481,709760.0000074542,104319.99998759353,3390719.999944444,293759.99999442365,151518.4120692
11660.0,1019305.9360966968,147284.9348024266,686581.3583278882,185439.6431369374,943301.1200595273,250880.00000880432,741119.9999413992,67199.99986879351,362239.99993573676,140159.9999852963,554277.492881
11700.0,6094434.169810041,377738.6477117146,675605.4894686207,5041090.032563731,14560515.200034626,667520.0000280486,4163840.0000893185,435840.000101737,15301760.000254855,1141119.9999577068,1300845.2498126
11740.0,795712.9218896131,188963.53156738236,460791.0482493401,145958.34209869805,1058279.6799976805,272000.000026398,563199.9999814545,168960.00001509656,515840.00000898895,169599.9999956013,270689.367162
11780.0,1233048.5500870433,237370.61461814606,668345.445710719,327332.489688976,1923727.3599810707,280959.99999780307,1061119.9999906344,206080.00001495943,1160959.9999654607,235519.99999859105,449316.7601979
11820.0,1331024.3368604558,95612.04940592966,231261.94109971338,1004150.3463466438,1572218.879992086,208640.00001297108,643840.0000097352,113919.99993944689,1132799.999957987,273279.99997718,529997.9201462
11860.0,625638.2140062861,88350.71315940816,418579.39897025673,118708.1018260124,642519.6800072398,137599.99999462458,284159.99999384116,104960.00000251649,234879.99999255734,191360.00003604442,275945.6034907
11900.0,977645.7025865535,201618.89441746214,595187.1395189753,180839.6687144031,1573955.1999982542,307839.99998313567,996479.9999432034,108159.99996997512,869119.9999629278,221439.99999632227,322314.0039691
11940.0,899407.5953822448,131225.61726441246,534278.1212040399,233903.8568954249,1339840.639943309,252799.99999196018,969599.9999662421,74879.99999133896,632319.9999835896,196480.0000089972,275268.72541210003
11980.0,1520949.2419972704,262731.5492282855,636747.3793110823,621470.3133606316,2421527.6797907436,579840.0000028425,1656959.9998624283,145279.9999521441,1486079.9999849198,179840.00005698195,559190.6335878
12020.0,2123777.08473463,261655.779450981,940959.3136466576,921161.9917453715,4457959.680074489,593280.0000622729,2139520.000045385,251519.9999823584,3419520.000049291,498559.999995685,655952.1126987
12060.0,29458545.32902368,3229527.4314750326,10281510.53403722,15947507.363314655,78932302.0794702,6528639.999994262,31043839.999806568,4786559.999878783,68262399.99984512,7908479.999959168,5558499.3406111
12100.0,1594843.8117068564,133920.32701704232,403747.9920276599,1057175.4926664622,5116705.9199293805,215040.00001723872,1333759.9999738722,688639.9999709709,3503999.999907449,1201279.999980135,355521.70995519997
12120.0,1092505.0879295259,151189.395304191,700947.4661507141,240368.2266222465,1314225.9200772764,211839.9999631013,828160.0000869404,83200.0000734268,729600.0001053252,191999.99999440016,604929.2451542
12140.0,688208.921548073,108940.4625833346,437995.6982267567,141272.76069374545,1023033.5999799588,158079.99999869935,375680.0000158816,134399.99997287398,565120.0000094717,261120.00001759786,232207.76779810002
12180.0,1185165.574680563,263440.20815498655,252906.16152494587,668819.2048876185,1171868.800022191,450560.00001538126,348799.99999480526,87680.00000559313,1017599.999959215,172799.99998663933,442603.1750198
12220.0,1236254.3139874197,140531.83878057875,987493.6437476705,108228.83146232882,2804748.799925377,266239.99999122886,2657279.9999927958,415360.0000274291,709120.0000330022,144000.00001874784,388815.4991673
12260.0,6320711.217386168,872682.1360939565,1741979.2715098239,3706049.810044155,11390565.119879475,1639040.0001955028,4012799.999869475,767359.9999515988,9602559.999988703,1541760.0000859615,2227613.6443646
