cbsatitle,cbsacode,metropolitanmicropolitanstatis,depression,user_id,depression_rate,v002_rawvalue,v037_rawvalue,v009_rawvalue,v011_rawvalue,v012_rawvalue,v045_rawvalue,v004_rawvalue,v007_rawvalue,v021_rawvalue,v022_rawvalue,v023_rawvalue,v028_rawvalue,v043_rawvalue,v041_rawvalue,v003_rawvalue,CENSUS2010POP
"Akron, OH",10420.0,Metropolitan Statistical Area,8,39,0.20512820512820512,87268.0594,58240.7501,173013.55550000002,195858.809,111324.9547,1957.518676,0.006514911667764192,574530.4820000001,575892.2278686658,194589.44005850586,43218.038,64030.2815462296,0.0,571291.9998965547,81398.628,703200
"Albany, GA",10500.0,Metropolitan Statistical Area,4,15,0.26666666666666666,33627.31321552905,18073.8705,32678.588026593658,47206.727,17689.73885845844,1389.1023500000001,0.0013146825392947007,118552.95400000001,79524.60633417901,28379.6438218295,9865.678000000002,22477.1603976927,0.0,185784.780464776,21170.163,153857
"Albany-Schenectady-Troy, NY",10580.0,Metropolitan Statistical Area,1,24,0.041666666666666664,110917.12690000002,64003.4399,189072.5386375039,222424.488,158365.73940000002,2233.395257,0.008414496101279333,734022.777,652831.9176387511,275184.5510554319,43763.14,80305.5741683895,321871238.36169714,1287547.1133755073,116186.03399999999,870716
"Atlanta-Sandy Springs-Roswell, GA",12060.0,Metropolitan Statistical Area,48,486,0.09876543209876543,704567.332121189,455224.0782,963351.5703974186,1392675.7439999997,740003.5306157226,21640.878647999998,0.04288659711712547,4294637.153299999,3473309.402500433,1745988.652799062,326286.528,554777.0111458016,0.0,3970488.945957902,1000722.1330000001,5298377
"Atlantic City-Hammonton, NJ",12100.0,Metropolitan Statistical Area,1,10,0.1,65413.5276,29781.885299999998,85816.6008,97169.0,60918.5822,1103.373359,0.002350924279712476,268495.3859,330266.05251141393,88791.19095446408,26999.63,41375.56939091391,183141340.4816276,818497.0232555412,57905.71899999999,371814
"Augusta-Richmond County, GA-SC",12260.0,Metropolitan Statistical Area,2,16,0.125,95000.23649876204,53934.2372,128309.58445027196,174516.46399999998,74157.12629999999,2701.774698,0.006168967197709733,433057.55939999997,362051.35203137086,125896.92593862311,35651.308000000005,68002.5452791347,211914085.36320177,475862.91290460335,87917.19200000001,564873
"Austin-Round Rock-San Marcos, TX",12420.0,Metropolitan Statistical Area,1,14,0.07142857142857142,237367.19047156986,120931.68310000001,317334.7970798232,395303.955,319226.2588,7706.065685,0.01397899389087928,1401788.0575,1280363.5319795199,625115.848944704,74831.818,142301.97073259702,569005098.215392,1620116.2888367933,391928.084,1716289
"Baltimore-Columbia-Towson, MD",12580.0,Metropolitan Statistical Area,21,168,0.125,365565.49679999996,252964.54600000003,559518.2879,737019.772,401598.1702,13111.689667999999,0.03693859365068278,2183537.3596,2102934.171721452,899570.698568621,126340.211,272738.27707038773,2177733204.1032844,6263611.612164555,349923.27,2710489
"Baton Rouge, LA",12940.0,Metropolitan Statistical Area,6,29,0.20689655172413793,138974.6692,87987.6251,175600.44409613207,237055.35299999997,121463.63405737854,3252.721735,0.0067926176227632645,629857.1392,549174.0304714858,197758.94956358106,37793.714,96185.61130628771,0.0,190149.4085211352,173532.402,825905
"Beaumont-Port Arthur, TX",13140.0,Metropolitan Statistical Area,2,17,0.11764705882352941,69102.3676,34916.736399999994,87188.1423,116560.332,51915.7779,1204.5156060000002,0.0022919307690995516,309205.0416,263173.9300463959,57179.34300349252,25560.730999999996,41988.6487843942,225219338.2829724,248729.50368592553,79336.404,388745
"Binghamton, NY",13780.0,Metropolitan Statistical Area,1,10,0.1,31503.575000000008,18726.3475,61808.967500000006,68272.5,43674.542499999996,584.4337499999999,0.0024520938873266503,211149.3125,193848.6709464175,60224.943232145,14194.95,23817.058342337496,49273310.9855535,326482.21587714,39867.0,251725
"Birmingham, AL",13820.0,Metropolitan Statistical Area,4,23,0.17391304347826086,198543.0696,113399.13519999999,267414.06686392036,349770.752,147145.6494,6971.108171999999,0.012910982124055661,892440.7400999999,771222.435021132,291346.8007140755,50729.74800000001,107574.0953998194,573037857.0247898,740055.8524367458,159235.607,1128047
"Boston-Cambridge-Newton, MA-NH",14460.0,Metropolitan Statistical Area,13,93,0.13978494623655913,544459.9236,340703.0492,759466.4888999999,990385.078,799805.89,11019.041552999997,0.06789222590870438,3874781.3647000003,3629619.850325666,1854090.2941401757,219201.83299999998,367588.21958025044,2029348784.5409307,8200115.835657015,546564.7880000001,4552402
"Buffalo-Cheektowaga, NY",15380.0,Metropolitan Statistical Area,3,34,0.08823529411764706,163647.3717,93635.43609999999,231597.55719999998,304802.51399999997,196822.83099999998,5067.855432000001,0.012644981137623966,933741.9713000001,863143.7852549267,296004.4984815025,68240.681,110508.87459861959,571689567.3728693,1242090.790256219,134692.633,1135509
"Champaign-Urbana, IL",16580.0,Metropolitan Statistical Area,3,11,0.2727272727272727,24335.3912449545,18037.3751,43618.6971,63733.411000000015,34261.314989013394,1423.193346,0.0027201695566846486,197651.00929999998,200657.17836377,92081.7590638097,13201.899,18100.5272713191,158475767.09206468,179585.4172056712,44131.102000000006,231891
"Charleston-North Charleston, SC",16700.0,Metropolitan Statistical Area,2,22,0.09090909090909091,89249.02070000002,64724.28590000001,148835.3949,191349.30500000002,116075.92599999999,4264.220901,0.0075163607331730576,537543.5849,486675.5318442541,186108.8296369911,37370.978,72264.6174605493,533217288.0009345,501578.09910850634,122028.21500000001,664607
"Charlotte-Concord-Gastonia, NC-SC",16740.0,Metropolitan Statistical Area,12,90,0.13333333333333333,384164.17549999995,194830.3048,485079.4895,599968.035,279897.6377,6246.263198000001,0.018208166549217548,1861931.0374999999,1702138.9916104681,630451.4893052146,152027.77,226111.96181355778,1876841929.7488985,1078868.1572884892,379666.9689999999,2243960
