cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_density_beta,ln_density_p,ln_density_CI_lower,ln_density_CI_upper
10740,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.4416062131339391,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
11260,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,1.6934388924403905,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
12060,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.676514647345881,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
12260,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.09786033167581998,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
12420,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.13302249324199877,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
12580,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.12888310174784934,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
12940,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.30586497650891076,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
13740,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.30200364390221424,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
13820,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.34708944935869646,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
13900,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.04644925725663285,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
14260,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.7853554491987467,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
14460,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.12136787864689147,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
15540,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.9551947630054443,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
16620,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.5380969848283996,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
16700,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.06618114871906045,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
16740,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.3852372095972836,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
16980,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.553091352780136,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
17140,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.25422767651936695,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
17820,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.5712405135424738,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
