StateAbbr,LocationName,FIPS,TotalPopulation,BINGE,CANCER,CSMOKING,DEPRESSION,DIABETES,DISABILITY,LPA,MOBILITY,OBESITY,SELFCARE,VISION,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,some_college,no_time_activity,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,life_expectancy,FFR20,gdp,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,noise50n,noise60n,noise70n,noise80n,noise90n
AK,Aleutians East,2013,3398,560.67,139.31799999999998,618.436,421.352,434.944,1002.41,1032.992,404.3620000000001,1077.166,129.124,217.472,0.195,0.315,0.163061054,0.129,513.0,,100.0,122.0,3.0,79128.0,592.0,329.6,112.50385595,-9999.0,318095.0,,,,,,,,,,
AK,Aleutians West,2016,5122,1044.888,204.88,896.35,691.47,548.054,1347.086,1367.574,491.712,1541.7220000000002,158.782,271.466,0.168,0.277,0.1884720205,0.108,978.0,,169.0,135.0,8.0,92216.0,1806.0,248.5,91.47865596,-9999.0,874447.0,,,,,,,,,,
AK,Anchorage,2020,287145,55993.275,18664.425,38477.43,60874.74,22971.6,74083.41,56567.565,26130.195,84994.92,7752.915,11772.945,0.153,0.307,0.2106190841,0.083,64089.0,,10971.0,13949.0,1752.0,84577.0,113208.0,962.2,78.683915473,213.0,28000450.0,,,,,,,,,,
AK,Bethel,2050,18257,3468.83,967.621,6079.581,4107.825,2428.181,7978.309,6207.38,3450.573,7503.627,1204.962,1843.957,0.349,0.383,0.1683395457,0.16,1554.0,,805.0,1564.0,484.0,52214.0,1486.0,2724.9,70.711690412,6.0,766087.0,,,,,,,,,,
AK,Bristol Bay,2060,865,176.46,70.065,150.51,173.0,94.285,269.015,186.84,115.045,277.665,31.14,45.845,0.212,0.341,0.2090795829,0.096,134.0,,31.0,23.0,0.0,87032.0,290.0,598.1,,-9999.0,168161.0,,,,,,,,,,
AK,Chugach,2063,6874,1395.4220000000005,529.298,1051.7220000000002,1278.564,632.408,1862.8540000000005,1436.6659999999997,742.3920000000002,2130.94,199.346,288.708,,,,,,,,,,,,,,-9999.0,1635885.0,,,,,,,,,,
AK,Copper River,2066,2589,476.376,227.832,455.664,502.266,292.557,818.1240000000001,629.1270000000001,370.227,856.9590000000001,103.56,142.395,,,,,,,,,,,,,,-9999.0,143508.0,,,,,,,,,,
AK,Denali,2068,1585,336.02,110.95,258.355,293.225,133.14,410.515,339.19,164.84,508.785,45.965,64.98499999999999,0.178,0.284,0.2168640495,0.085,416.0,,107.0,29.0,0.0,80192.0,561.0,333.8,89.085612122,3.0,341937.0,,,,,,,,,,
AK,Dillingham,2070,4723,1024.8909999999998,288.103,1308.271,1076.844,623.436,1993.106,1317.717,840.6940000000001,1761.679,250.319,387.286,0.307,0.357,0.193227931,0.132,647.0,,143.0,527.0,42.0,72334.0,550.0,1729.0,70.240750907,-9999.0,277809.0,,,,,,,,,,
AK,Fairbanks North Star,2090,95356,20787.608,6198.14,13349.84,19834.048000000003,6865.6320000000005,27462.528,19357.268,8105.26,30323.208,2383.9,3623.528,0.176,0.304,0.1968063609,0.081,21203.0,,2841.0,4384.0,675.0,76650.0,37227.0,863.2,80.2125933,43.0,6874732.0,,,,,,,,,,
