StateAbbr,LocationName,FIPS,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,FFR20,gdp,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,noise50n,noise60n,noise70n,noise80n,noise90n
AK,Aleutians East,2013,3398,560.67,618.436,421.352,434.944,1032.992,1077.166,616.394999968761,995.714999949537,515.4359916678776,407.76899997933424,513.0,100.0,122.0,3.0,79128.0,592.0,329.6,-9999.0,318095.0,,,,,,,,,,
AK,Aleutians West,2016,5122,1044.888,896.35,691.47,548.054,1367.574,1541.7220000000002,839.831999997312,1384.722999995568,942.1716304764844,539.891999998272,978.0,169.0,135.0,8.0,92216.0,1806.0,248.5,-9999.0,874447.0,,,,,,,,,,
AK,Anchorage,2020,287145,55993.275,38477.43,60874.74,22971.6,56567.565,84994.92,33454.52100012982,67127.69900026049,46053.33707223241,18148.531000070427,64089.0,10971.0,13949.0,1752.0,84577.0,113208.0,962.2,213.0,28000450.0,,,,,,,,,,
AK,Bethel,2050,18257,3468.83,6079.581,4107.825,2428.181,6207.38,7503.627,4154.495999738285,4559.231999712789,2003.9139518865625,1904.639999880016,1554.0,805.0,1564.0,484.0,52214.0,1486.0,2724.9,6.0,766087.0,,,,,,,,,,
AK,Bristol Bay,2060,865,176.46,150.51,173.0,94.285,186.84,277.665,133.7719999966928,215.1709999946804,131.92921680663838,60.5759999985024,134.0,31.0,23.0,0.0,87032.0,290.0,598.1,-9999.0,168161.0,,,,,,,,,,
AK,Chugach,2063,6874,1395.4220000000005,1051.7220000000002,1278.564,632.408,1436.6659999999997,2130.94,,,,,,,,,,,,-9999.0,1635885.0,,,,,,,,,,
AK,Copper River,2066,2589,476.376,455.664,502.266,292.557,629.1270000000001,856.9590000000001,,,,,,,,,,,,-9999.0,143508.0,,,,,,,,,,
AK,Denali,2068,1585,336.02,258.355,293.225,133.14,339.19,508.785,307.7619999929868,491.0359999888103,374.95794157695553,146.96499999665102,416.0,107.0,29.0,0.0,80192.0,561.0,333.8,3.0,341937.0,,,,,,,,,,
AK,Dillingham,2070,4723,1024.8909999999998,1308.271,1076.844,623.436,1317.717,1761.679,1015.5559999849262,1180.9559999824712,639.1979957385124,436.6559999935188,647.0,143.0,527.0,42.0,72334.0,550.0,1729.0,-9999.0,277809.0,,,,,,,,,,
AK,Fairbanks North Star,2090,95356,20787.608,13349.84,19834.048000000003,6865.6320000000005,19357.268,30323.208,12848.880000203806,22193.520000352033,14367.848377732402,5913.405000093799,21203.0,2841.0,4384.0,675.0,76650.0,37227.0,863.2,43.0,6874732.0,,,,,,,,,,
AK,Haines,2100,2056,374.1919999999999,302.23199999999997,380.36,207.656,433.8160000000001,670.2560000000001,386.4609999986754,652.0179999977652,456.9207839071339,177.03799999939318,377.0,159.0,44.0,6.0,105044.0,446.0,237.2,4.0,113485.0,,,,,,,,,,
AK,Hoonah-Angoon,2105,2287,375.068,455.11299999999994,427.669,322.46700000000004,612.916,736.4140000000001,397.70399999620906,609.6959999941884,350.26982114066124,185.71199999822977,210.0,142.0,62.0,6.0,55593.0,378.0,,-9999.0,119173.0,,,,,,,,,,
AK,Juneau,2110,31685,6400.37,4752.75,6083.52,2756.5950000000003,6653.85,10582.79,3813.3540002273458,6944.850000414041,5471.742688004216,1919.3040001144257,6814.0,1081.0,1106.0,283.0,89204.0,10951.0,406.6,28.0,3006068.0,,,,,,,,,,
AK,Kenai Peninsula,2122,60690,10499.37,9649.71,13351.8,5886.93,12926.97,19724.25,9186.835000022767,12649.210000031346,10187.048761488246,3831.695000009496,8391.0,2393.0,2501.0,191.0,68448.0,17283.0,264.0,45.0,3352170.0,,,,,,,,,,
AK,Ketchikan Gateway,2130,13741,2761.9410000000003,2061.15,2761.9410000000003,1360.359,2913.092,4740.645,2118.8700001205298,3444.5220001959374,2446.2070929101496,934.4760000531564,2226.0,627.0,695.0,169.0,76780.0,4611.0,568.3,12.0,1031524.0,,,,,,,,,,
AK,Kodiak Island,2150,12720,2289.6,2124.24,2353.2000000000003,1221.12,2874.7200000000003,3854.16,1625.910000067584,2877.368000119603,1886.695086247824,896.7140000372735,2952.0,380.0,482.0,53.0,72028.0,4132.0,330.8,7.0,933912.0,,,,,,,,,,
AK,Kusilvak,2158,8278,1498.3180000000002,3162.1960000000004,2052.944,1291.3680000000002,3211.8639999999996,3766.49,2091.950000080152,2194.115000084066,767.0857619158904,958.4050000367208,456.0,445.0,1120.0,10.0,37566.0,107.0,3848.9,-9999.0,177941.0,,,,,,,,,,
