cbsacode,Year,factor,best_k,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_m_eigs,FsAMI,beta,p_value,CI_lower,CI_upper,AIC,gamma_km_per_year,composite_mode
10740,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.6573533952305386,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
11260,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,1.414961218972186,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
12060,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.37111211262375576,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
12260,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.342881570245158,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
12420,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.324687359183649,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
12580,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.0964298656024436,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
12940,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.03042876612742873,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
13740,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.46161133505425767,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
13820,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.18540182607821976,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
13900,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.11607153396049164,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
14260,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.952324135723579,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
14460,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.495085793836612,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
15540,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.8450167278138796,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
16620,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.7026398710485324,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
16700,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.5364442875650823,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
16740,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.22317000071692128,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
16980,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.673139351357035,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
17140,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.11738239603862155,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
17820,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.5559563695297491,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
18140,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.18889675840514641,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
19100,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.35069533511680184,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
19740,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.5595139656852499,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
19780,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.015514009045022092,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
19820,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.18617623418582063,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
20260,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.8884402790174448,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
22020,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.4047444437412775,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
22220,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.8910626963138331,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
24340,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.16044316389331215,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
24860,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.5331066222650023,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
25180,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.9203072146875897,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
26420,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.4006258972007828,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
26580,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.1463233821344403,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
26900,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.12447031703437972,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
28140,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.5310860335577345,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
28940,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.22577943108403176,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
30700,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.9185238445269306,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
30780,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.32327563455561936,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
31080,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,-0.08307415724889111,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
31140,2011,adult_smoking,10,0.29776253365019056,0.005,0.026548759396987313,0.071,12,0.08256289939163253,0.9375201460276622,4.7871016190626915e-214,0.8944853865833561,0.9805549054719683,1353.8897950393737,500.0,quadratic
