cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_pop_beta,ln_pop_p,ln_pop_CI_lower,ln_pop_CI_upper
10740.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.40015824592613036,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
11260.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,1.5104568774726967,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12060.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.6687884232824288,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12260.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.4850793968453537,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12420.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.20346731583233968,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12580.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.3679212108878982,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12940.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.08358204272739833,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
13740.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.16374174944707498,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
13820.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.03400973465380552,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
13900.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.09299197978316087,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
14260.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.7036952679133055,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
