X,Y,Z,Spearman,p value
DEP,MHP,[],0.08467362121615805,0.014923691256521042
DEP,ED,[],0.08239633053602272,0.01785890175568145
DEP,DISABILITY,[],0.25384787737010395,1.2992842319192844e-13
DEP,GDP,[],-0.18822948043696922,5.026966464559591e-08
DEP,life_expectancy,[],-0.11018264542417597,0.0015163373958944739
DEP,pedestrian_3leg_intersections_total,[],-0.08209215660858316,0.01828689541723024
DEP,NOI,[],0.0636393713064547,0.06753563010421382
DEP,children_single_parent,[],0.0652551449124728,0.060847066789613366
MHP,ED,[],-0.022158905591365165,0.5247989850773269
MHP,DISABILITY,[],-0.03787112319975641,0.27696346123204363
MHP,GDP,[],0.03597966602086045,0.30168260691499416
MHP,life_expectancy,[],-0.012658011142219943,0.7164124600894101
MHP,pedestrian_3leg_intersections_total,[],0.015426813671643873,0.6579647506894687
MHP,NOI,[],0.06800548620317849,0.05072549537731185
MHP,children_single_parent,[],0.03647735290962803,0.2950406063683495
ED,DISABILITY,[],-0.4084523408057521,1.484763158257587e-34
ED,GDP,[],0.12227494842378125,0.00042812532800667945
ED,life_expectancy,[],0.0109039166518723,0.754344751914785
ED,pedestrian_3leg_intersections_total,[],-0.05628924310784414,0.10596531169361176
ED,NOI,[],0.0021550568383105835,0.9506878003094905
ED,children_single_parent,[],-0.2906211317835936,1.5343530341280184e-17
DISABILITY,GDP,[],-0.2725292881856323,1.5603704881942075e-15
DISABILITY,life_expectancy,[],-0.05837489463173475,0.09362145798560546
DISABILITY,pedestrian_3leg_intersections_total,[],-0.028380790197444227,0.4153019439421173
DISABILITY,NOI,[],0.062274708874835945,0.07364467540184505
DISABILITY,children_single_parent,[],0.46543326286158254,1.2271925345030342e-45
GDP,life_expectancy,[],0.07813925831920217,0.024718567154641585
GDP,pedestrian_3leg_intersections_total,[],0.1496210042903216,1.5748080040516853e-05
GDP,NOI,[],0.09751921515248223,0.005029044288853765
GDP,children_single_parent,[],-0.0694419281454307,0.04602515491696061
life_expectancy,pedestrian_3leg_intersections_total,[],0.09196374506562445,0.00817726943824937
life_expectancy,NOI,[],-0.06501996108128136,0.06178513300956665
life_expectancy,children_single_parent,[],-0.05433262861582498,0.11868442896685821
