X,Y,Z,Spearman,p value
MHP,INT,[],0.053609765718469836,0.12367492330151608
MHP,DEP,[],0.13002983981362026,0.0001787150946212399
MHP,GDP,[],0.03597966602086045,0.30168260691499416
MHP,ED,[],-0.022158905591365165,0.5247989850773269
MHP,DIS,[],-0.03787112319975641,0.27696346123204363
MHP,SP,[],0.035079600783697686,0.3139451323871012
INT,DEP,[],-0.1446177530788028,3.0193554339694404e-05
INT,GDP,[],0.17266659231777176,5.960146622738515e-07
INT,ED,[],-0.05412393357467446,0.1201087574262338
INT,DIS,[],-0.022690917182340134,0.5148927880285169
INT,SP,[],0.06813128666263336,0.050298413670594636
DEP,GDP,[],-0.169522134455629,9.572293361589714e-07
DEP,ED,[],0.07218468904284493,0.03806369842471486
DEP,DIS,[],0.22946880021378416,2.484944341652197e-11
DEP,SP,[],0.04008406570987269,0.24983814564079895
GDP,ED,[],0.12227494842378125,0.00042812532800667945
GDP,DIS,[],-0.2725292881856323,1.5603704881942075e-15
GDP,SP,[],-0.06126543061185326,0.0784470669309197
ED,DIS,[],-0.4084523408057521,1.484763158257587e-34
ED,SP,[],-0.307825366689548,1.374086787129398e-19
DIS,SP,[],0.4689526733795379,2.1526572790763104e-46
INT,DEP,['GDP'],-0.11460146108886705,0.0009683671355833685
INT,GDP,['DEP'],0.14879966015989624,1.7549475390973055e-05
DEP,GDP,['MHP'],-0.1718246576246699,6.771995446845241e-07
DEP,GDP,['INT'],-0.15815420617338927,4.941014876704874e-06
DEP,GDP,['ED'],-0.18535485050681902,8.066612136673479e-08
DEP,GDP,['DIS'],-0.11868861325381728,0.0006306938330938449
DEP,ED,['MHP'],0.07484994254817794,0.03147906355710901
DEP,ED,['INT'],0.0685623682979861,0.048857679237594716
DEP,ED,['GDP'],0.09948345262427201,0.004210453866549668
DEP,ED,['DIS'],0.20139193907152425,5.244818698923956e-09
DEP,DIS,['MHP'],0.237010844380754,5.201187469754906e-12
DEP,DIS,['INT'],0.23146459426663554,1.6514887784731426e-11
DEP,DIS,['GDP'],0.20878180045519623,1.3762518241678754e-09
DEP,DIS,['ED'],0.28818644147646255,2.9152759813110216e-17
GDP,ED,['INT'],0.12974842835929465,0.00018463089780911755
GDP,ED,['DEP'],0.1448145026125474,2.9442246342248758e-05
GDP,ED,['DIS'],0.009637714160084172,0.7821049722520527
GDP,DIS,['INT'],-0.27530356307762904,7.851596293398798e-16
GDP,DIS,['DEP'],-0.2565495210218839,7.00403087755786e-14
ED,DIS,['DEP'],-0.4365813277985106,9.206475664029894e-40
ED,DIS,['SP'],-0.30450513313464966,3.499567670657286e-19
ED,SP,['DEP'],-0.31261330066240606,3.494108920499618e-20
ED,SP,['DIS'],-0.1590026140113243,4.388224074208613e-06
